FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,OneLeet Controls Requirement Title,Target ID #,OneLeet Controls Requirement Description,Notes
AC-22,AC-22 - Publicly Accessible Content,"a. Designate individuals authorized to make information publicly accessible; b. Train authorized individuals to ensure that publicly accessible information does not contain nonpublic information; c. Review the proposed content of information prior to posting onto the publicly accessible system to ensure that nonpublic information is not included; and d. Review the content on the publicly accessible system for nonpublic information and remove such information, if discovered. Guidance In accord...",medium,functional,FedRAMP v5 Low AC-22 requires a. Designate individuals authorized to make information publicly accessible; b. Train authorized individuals to ensure that publicly accessible information does not contain nonp.... OneLeet Controls OS.PFCR.V1 requires Establish a formal process to review publicly accessible systems for Controlled Unclassified Information (CUI) and ensure its immediate removal if discovered. This process prote.... Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.,superset_of,6,Public facing content review process established,OS.PFCR.V1,Establish a formal process to review publicly accessible systems for Controlled Unclassified Information (CUI) and ensure its immediate removal if discovered. This process protects sensitive information from unauthorized disclosure.,"Shared scope: access control; audit and monitoring; data protection. FedRAMP v5 Low additionally includes ac-22, access; OneLeet Controls emphasizes process, review, controlled."
AT-1,AT-01 - Policy and Procedures,"a. Develop, document, and disseminate to : 1. awareness and training policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the awareness and training policy and the associated awareness and training controls; b. Designate...",medium,functional,"FedRAMP v5 Low AT-1 requires a. Develop, document, and disseminate to : 1. awareness and training policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination amon.... OneLeet Controls OS.SPE.V1 requires Establish a sanction policy that outlines the appropriate sanctions against workforce members who fail to comply with the organization's security policies and procedures. Sancti.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Sanction policy established,OS.SPE.V1,Establish a sanction policy that outlines the appropriate sanctions against workforce members who fail to comply with the organization's security policies and procedures. Sanctions help enforce accountability and deter employees from engaging in misconduct.,"Overlap: access control; governance and policy. Divergence: FedRAMP v5 Low emphasizes at-01, awareness, training; OneLeet Controls emphasizes sanction, against, appropriate."
AT-2(2),AT-02(02) - Insider Threat,"Provide literacy training on recognizing and reporting potential indicators of insider threat. Guidance Potential indicators and possible precursors of insider threat can include behaviors such as inordinate, long-term job dissatisfaction; attempts to gain access to information not required for job performance; unexplained access to financial resources; bullying or harassment of fellow employees; workplace violence; and other serious violations of policies, procedures, directives, regulations...",medium,functional,FedRAMP v5 Low AT-2(2) requires Provide literacy training on recognizing and reporting potential indicators of insider threat. Guidance Potential indicators and possible precursors of insider threat can includ.... OneLeet Controls MI.TI.V1 requires Information relating to information security threats shall be collected and analyzed to produce threat intelligence.. Both address incident response. FedRAMP v5 Low covers broader scope than OneLeet Controls.,superset_of,6,Threat Intelligence,MI.TI.V1,Information relating to information security threats shall be collected and analyzed to produce threat intelligence.,"Shared scope: incident response; risk management. FedRAMP v5 Low additionally includes insider, training, at-02; OneLeet Controls emphasizes intelligence, analyzed, collected."
AT-2,AT-02 - Literacy Training and Awareness,"a. Provide security and privacy literacy training to system users (including managers, senior executives, and contractors): 1. As part of initial training for new users and thereafter; and 2. When required by system changes or following ; b. Employ the following techniques to increase the security and privacy awareness of system users ; c. Update literacy training and awareness content and following ; and d. Incorporate lessons learned from internal or external security incidents or breaches...",high,functional,"FedRAMP v5 Low AT-2 requires a. Provide security and privacy literacy training to system users (including managers, senior executives, and contractors): 1. As part of initial training for new users and ther.... OneLeet Controls OS.SATC.V1 requires Security awareness training is conducted annually for all employees, covering cybersecurity threats, social engineering, authentication best practices, and handling of sensitive.... Both address access control. The requirements are materially equivalent in scope and intent.",equal,10,Security awareness training conducted,OS.SATC.V1,"Security awareness training is conducted annually for all employees, covering cybersecurity threats, social engineering, authentication best practices, and handling of sensitive data.",Shared scope: access control; risk management; governance and policy. No material divergence detected.
AT-3,AT-03 - Role-based Training,"a. Provide role-based security and privacy training to personnel with the following roles and responsibilities: : 1. Before authorizing access to the system, information, or performing assigned duties, and thereafter; and 2. When required by system changes; b. Update role-based training content and following ; and c. Incorporate lessons learned from internal or external security incidents or breaches into role-based training. Guidance Organizations determine the content of training based on t...",medium,functional,"FedRAMP v5 Low AT-3 requires a. Provide role-based security and privacy training to personnel with the following roles and responsibilities: : 1. Before authorizing access to the system, information, or per.... OneLeet Controls OS.SATC.V1 requires Security awareness training is conducted annually for all employees, covering cybersecurity threats, social engineering, authentication best practices, and handling of sensitive.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Security awareness training conducted,OS.SATC.V1,"Security awareness training is conducted annually for all employees, covering cybersecurity threats, social engineering, authentication best practices, and handling of sensitive data.","Overlap: access control; risk management; governance and policy. Divergence: FedRAMP v5 Low emphasizes at-03, role-based; OneLeet Controls emphasizes conducted, annually, authentication."
AT-4,AT-04 - Training Records,"a. Document and monitor information security and privacy training activities, including security and privacy awareness training and specific role-based security and privacy training; and b. Retain individual training records for . Guidance Documentation for specialized training may be maintained by individual supervisors at the discretion of the organization. The National Archives and Records Administration provides guidance on records retention for federal agencies.",medium,functional,"FedRAMP v5 Low AT-4 requires a. Document and monitor information security and privacy training activities, including security and privacy awareness training and specific role-based security and privacy trai.... OneLeet Controls OS.SATC.V1 requires Security awareness training is conducted annually for all employees, covering cybersecurity threats, social engineering, authentication best practices, and handling of sensitive.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Security awareness training conducted,OS.SATC.V1,"Security awareness training is conducted annually for all employees, covering cybersecurity threats, social engineering, authentication best practices, and handling of sensitive data.","Overlap: access control; governance and policy. Divergence: FedRAMP v5 Low emphasizes at-04, records; OneLeet Controls emphasizes conducted, annually, authentication."
AU-1,AU-01 - Policy and Procedures,"a. Develop, document, and disseminate to : 1. audit and accountability policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the audit and accountability policy and the associated audit and accountability controls; b. Desi...",medium,functional,"FedRAMP v5 Low AU-1 requires a. Develop, document, and disseminate to : 1. audit and accountability policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination am.... OneLeet Controls OS.SPE.V1 requires Establish a sanction policy that outlines the appropriate sanctions against workforce members who fail to comply with the organization's security policies and procedures. Sancti.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Sanction policy established,OS.SPE.V1,Establish a sanction policy that outlines the appropriate sanctions against workforce members who fail to comply with the organization's security policies and procedures. Sanctions help enforce accountability and deter employees from engaging in misconduct.,"Overlap: access control; governance and policy. Divergence: FedRAMP v5 Low emphasizes accountability, au-01, audit; OneLeet Controls emphasizes sanction, against, appropriate."
AU-2,AU-02 - Event Logging,a. Identify the types of events that the system is capable of logging in support of the audit function: ; b. Coordinate the event logging function with other organizational entities requiring audit-related information to guide and inform the selection criteria for events to be logged; c. Specify the following event types for logging within the system: ; d. Provide a rationale for why the event types selected for logging are deemed to be adequate to support after-the-fact investigations of inc...,medium,functional,"FedRAMP v5 Low AU-2 requires a. Identify the types of events that the system is capable of logging in support of the audit function: ; b. Coordinate the event logging function with other organizational enti.... OneLeet Controls IS.LP.V1 requires Logs that record activities, exceptions, faults and other relevant events shall be produced, stored, protected and analysed.. Both address incident response. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Logging performed,IS.LP.V1,"Logs that record activities, exceptions, faults and other relevant events shall be produced, stored, protected and analysed.","Shared scope: incident response; audit and monitoring. FedRAMP v5 Low additionally includes accountability, au-02, audit; OneLeet Controls emphasizes activities, analysed, events."
AU-3,AU-03 - Content of Audit Records,"Ensure that audit records contain information that establishes the following: a. What type of event occurred; b. When the event occurred; c. Where the event occurred; d. Source of the event; e. Outcome of the event; and f. Identity of any individuals, subjects, or objects/entities associated with the event. Guidance Audit record content that may be necessary to support the auditing function includes event descriptions (item a), time stamps (item b), source and destination addresses (item c),...",medium,functional,"FedRAMP v5 Low AU-3 requires Ensure that audit records contain information that establishes the following: a. What type of event occurred; b. When the event occurred; c. Where the event occurred; d. Source.... OneLeet Controls OS.IAP.V1 requires The organization shall plan, establish, implement and maintain an audit programme(s), including the frequency, methods, responsibilities, planning requirements and reporting. Wh.... Both address incident response. FedRAMP v5 Low is narrower and fits within OneLeet Controls scope.",subset_of,6,Internal Audit Program,OS.IAP.V1,"The organization shall plan, establish, implement and maintain an audit programme(s), including the frequency, methods, responsibilities, planning requirements and reporting. When establishing the internal audit programme(s), the organization shall consider the importance of the processes concerned and the results of previous audits. The organization shall: a) define the audit criteria and scope for each audit; b) select auditors and conduct audits that ensure objectivity and the impartiality...","Shared scope: incident response; audit and monitoring. FedRAMP v5 Low emphasizes records, accountability, au-03; OneLeet Controls additionally includes establish, frequency, implement."
AU-4,AU-04 - Audit Log Storage Capacity,Allocate audit log storage capacity to accommodate . Guidance Organizations consider the types of audit logging to be performed and the audit log processing requirements when allocating audit log storage capacity. Allocating sufficient audit log storage capacity reduces the likelihood of such capacity being exceeded and resulting in the potential loss or reduction of audit logging capability.,high,functional,FedRAMP v5 Low AU-4 requires Allocate audit log storage capacity to accommodate . Guidance Organizations consider the types of audit logging to be performed and the audit log processing requirements when al.... OneLeet Controls MI.AALS.V1 requires Ensure sufficient storage capacity to retain audit logs for the required duration. Adequate audit log storage enables historical analysis and supports compliance requirements re.... Both address audit and monitoring. FedRAMP v5 Low covers broader scope than OneLeet Controls.,superset_of,7,Adequate audit log storage maintained,MI.AALS.V1,Ensure sufficient storage capacity to retain audit logs for the required duration. Adequate audit log storage enables historical analysis and supports compliance requirements related to log retention.,"Shared scope: audit and monitoring. FedRAMP v5 Low additionally includes accommodate, accountability, allocate; OneLeet Controls emphasizes adequate, duration, ensure."
AU-5,AU-05 - Response to Audit Logging Process Failures,"a. Alert within in the event of an audit logging process failure; and b. Take the following additional actions: . Guidance Audit logging process failures include software and hardware errors, failures in audit log capturing mechanisms, and reaching or exceeding audit log storage capacity. Organization-defined actions include overwriting oldest audit records, shutting down the system, and stopping the generation of audit records. Organizations may choose to define additional actions for audit...",medium,functional,"FedRAMP v5 Low AU-5 requires a. Alert within in the event of an audit logging process failure; and b. Take the following additional actions: . Guidance Audit logging process failures include software and ha.... OneLeet Controls MI.ALMP.V1 requires Maintain a robust and up-to-date audit log management process. This process should include guidelines for capturing, storing, and monitoring audit logs, ensuring the availabilit.... Both address incident response. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Audit log management process maintained,MI.ALMP.V1,"Maintain a robust and up-to-date audit log management process. This process should include guidelines for capturing, storing, and monitoring audit logs, ensuring the availability and integrity of essential security event data.","Shared scope: incident response; audit and monitoring. FedRAMP v5 Low additionally includes accountability, au-05, failures; OneLeet Controls emphasizes log, management, incident."
AU-6,"AU-06 - Audit Record Review, Analysis, and Reporting","a. Review and analyze system audit records for indications of and the potential impact of the inappropriate or unusual activity; b. Report findings to ; and c. Adjust the level of audit record review, analysis, and reporting within the system when there is a change in risk based on law enforcement information, intelligence information, or other credible sources of information. Guidance Audit record review, analysis, and reporting covers information security- and privacy-related logging perfor...",medium,functional,"FedRAMP v5 Low AU-6 requires a. Review and analyze system audit records for indications of and the potential impact of the inappropriate or unusual activity; b. Report findings to ; and c. Adjust the level.... OneLeet Controls OS.IAP.V1 requires The organization shall plan, establish, implement and maintain an audit programme(s), including the frequency, methods, responsibilities, planning requirements and reporting. Wh.... Both address incident response. FedRAMP v5 Low is narrower and fits within OneLeet Controls scope.",subset_of,6,Internal Audit Program,OS.IAP.V1,"The organization shall plan, establish, implement and maintain an audit programme(s), including the frequency, methods, responsibilities, planning requirements and reporting. When establishing the internal audit programme(s), the organization shall consider the importance of the processes concerned and the results of previous audits. The organization shall: a) define the audit criteria and scope for each audit; b) select auditors and conduct audits that ensure objectivity and the impartiality...","Shared scope: incident response; audit and monitoring. FedRAMP v5 Low emphasizes accountability, analysis, au-06; OneLeet Controls additionally includes establish, frequency, implement."
AU-8,AU-08 - Time Stamps,"a. Use internal system clocks to generate time stamps for audit records; and b. Record time stamps for audit records that meet and that use Coordinated Universal Time, have a fixed local time offset from Coordinated Universal Time, or that include the local time offset as part of the time stamp. Guidance Time stamps generated by the system include date and time. Time is commonly expressed in Coordinated Universal Time (UTC), a modern continuation of Greenwich Mean Time (GMT), or local time wi...",medium,functional,"FedRAMP v5 Low AU-8 requires a. Use internal system clocks to generate time stamps for audit records; and b. Record time stamps for audit records that meet and that use Coordinated Universal Time, have a fi.... OneLeet Controls AC.ALAR.V1 requires Ensure audit information and audit logging tools are safeguarded against unauthorized access, modification, and deletion. In order to maintain the integrity and reliability of a.... Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Audit log access restricted,AC.ALAR.V1,"Ensure audit information and audit logging tools are safeguarded against unauthorized access, modification, and deletion. In order to maintain the integrity and reliability of audit information, access to audit logging functionality must be restricted to a limited subset of privileged users or roles that have an explicit business need.","Shared scope: access control; audit and monitoring. FedRAMP v5 Low additionally includes accountability, au-08, stamps; OneLeet Controls emphasizes access, against, authorization."
AU-9,AU-09 - Protection of Audit Information,"a. Protect audit information and audit logging tools from unauthorized access, modification, and deletion; and b. Alert upon detection of unauthorized access, modification, or deletion of audit information. Guidance Audit information includes all information needed to successfully audit system activity, such as audit records, audit log settings, audit reports, and personally identifiable information. Audit logging tools are those programs and devices used to conduct system audit and logging a...",high,functional,"FedRAMP v5 Low AU-9 requires a. Protect audit information and audit logging tools from unauthorized access, modification, and deletion; and b. Alert upon detection of unauthorized access, modification, or d.... OneLeet Controls IS.POIS.V1 requires Audit tests and other assurance activities involving assessment of operational systems shall be planned and agreed between the tester and appropriate management.. Both address audit and monitoring. The requirements are materially equivalent in scope and intent.",equal,10,Protection of information systems during audit testing,IS.POIS.V1,Audit tests and other assurance activities involving assessment of operational systems shall be planned and agreed between the tester and appropriate management.,Shared scope: audit and monitoring; data protection. No material divergence detected.
AU-11,AU-11 - Audit Record Retention,"Retain audit records for to provide support for after-the-fact investigations of incidents and to meet regulatory and organizational information retention requirements. Guidance Organizations retain audit records until it is determined that the records are no longer needed for administrative, legal, audit, or other operational purposes. This includes the retention and availability of audit records relative to Freedom of Information Act (FOIA) requests, subpoenas, and law enforcement actions....",medium,functional,"FedRAMP v5 Low AU-11 requires Retain audit records for to provide support for after-the-fact investigations of incidents and to meet regulatory and organizational information retention requirements. Guidance.... OneLeet Controls OS.IAP.V1 requires The organization shall plan, establish, implement and maintain an audit programme(s), including the frequency, methods, responsibilities, planning requirements and reporting. Wh.... Both address incident response. FedRAMP v5 Low is narrower and fits within OneLeet Controls scope.",subset_of,6,Internal Audit Program,OS.IAP.V1,"The organization shall plan, establish, implement and maintain an audit programme(s), including the frequency, methods, responsibilities, planning requirements and reporting. When establishing the internal audit programme(s), the organization shall consider the importance of the processes concerned and the results of previous audits. The organization shall: a) define the audit criteria and scope for each audit; b) select auditors and conduct audits that ensure objectivity and the impartiality...","Shared scope: incident response; audit and monitoring. FedRAMP v5 Low emphasizes retention, accountability, after-the-fact; OneLeet Controls additionally includes establish, frequency, implement."
AU-12,AU-12 - Audit Record Generation,a. Provide audit record generation capability for the event types the system is capable of auditing as defined in AU-2a on ; b. Allow to select the event types that are to be logged by specific components of the system; and c. Generate audit records for the event types defined in AU-2c that include the audit record content defined in AU-3. Guidance Audit records can be generated from many different system components. The event types specified in AU-2d are the event types for which audit logs...,medium,functional,"FedRAMP v5 Low AU-12 requires a. Provide audit record generation capability for the event types the system is capable of auditing as defined in AU-2a on ; b. Allow to select the event types that are to be lo.... OneLeet Controls OS.IAP.V1 requires The organization shall plan, establish, implement and maintain an audit programme(s), including the frequency, methods, responsibilities, planning requirements and reporting. Wh.... Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Internal Audit Program,OS.IAP.V1,"The organization shall plan, establish, implement and maintain an audit programme(s), including the frequency, methods, responsibilities, planning requirements and reporting. When establishing the internal audit programme(s), the organization shall consider the importance of the processes concerned and the results of previous audits. The organization shall: a) define the audit criteria and scope for each audit; b) select auditors and conduct audits that ensure objectivity and the impartiality...","Overlap: incident response; audit and monitoring. Divergence: FedRAMP v5 Low emphasizes accountability, au-12, generation; OneLeet Controls emphasizes establish, frequency, implement."
CA-1,CA-01 - Policy and Procedures,"a. Develop, document, and disseminate to : 1. assessment, authorization, and monitoring policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the assessment, authorization, and monitoring policy and the associated assessme...",medium,functional,"FedRAMP v5 Low CA-1 requires a. Develop, document, and disseminate to : 1. assessment, authorization, and monitoring policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment.... OneLeet Controls MI.IRPE.V1 requires An incident response policy is established that outlines the organization's approach and procedures for detecting, responding to, and recovering from cybersecurity incidents.. Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Incident response policy established,MI.IRPE.V1,"An incident response policy is established that outlines the organization's approach and procedures for detecting, responding to, and recovering from cybersecurity incidents.","Overlap: incident response; governance and policy; audit and monitoring. Divergence: FedRAMP v5 Low emphasizes assessment, authorization, ca-01; OneLeet Controls emphasizes incident, response, established."
