FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,NIST 800-82 r3 Moderate Requirement Title,Target ID #,NIST 800-82 r3 Moderate Requirement Description,Notes
AC-2(13),AC-02(13) - Disable Accounts for High-risk Individuals,Disable accounts of individuals within of discovery of .,high,semantic,StateRAMP Rev5 Moderate AC-2(13) requires Disable accounts of individuals within of discovery of .. NIST 800-82 r3 Moderate AC-2(13) requires Disable accounts of individuals within of discovery of .. Both address OT cybersecurity safeguards.,subset_of,7,AC-02(13) - Disable Accounts for High-risk Individuals,AC-2(13),Disable accounts of individuals within of discovery of .,Auto-mapped via ID-first + lexical scoring (score=0.893). Reclassified to subset_of (equal>50% safeguard).
AC-3,AC-03 - Access Enforcement,Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.,high,semantic,StateRAMP Rev5 Moderate AC-3 requires Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.. NIST 800-82 r3 Moderate AC-3 requires Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.. Both address OT cybersecurity safeguards.,subset_of,7,AC-03 - Access Enforcement,AC-3,Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.,Auto-mapped via ID-first + lexical scoring (score=0.663). Reclassified to subset_of (equal>50% safeguard).
AC-4,AC-04 - Information Flow Enforcement,Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on .,high,semantic,StateRAMP Rev5 Moderate AC-4 requires Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on .. NIST 800-82 r3 Moderate AC-4 requires Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on .. Both address OT cybersecurity safeguards.,subset_of,7,AC-04 - Information Flow Enforcement,AC-4,Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on .,Auto-mapped via ID-first + lexical scoring (score=0.824). Reclassified to subset_of (equal>50% safeguard).
AC-4(21),AC-04(21) - Physical or Logical Separation of Information Flows,Separate information flows logically or physically using to accomplish .,medium,functional,"StateRAMP Rev5 Moderate AC-4(21) requires Separate information flows logically or physically using to accomplish .. NIST 800-82 r3 Moderate AC-4 requires Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on .. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,3,AC-04 - Information Flow Enforcement,AC-4,Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on .,Auto-mapped via ID-first + lexical scoring (score=0.288).
AC-5,AC-05 - Separation of Duties,Define system access authorizations to support separation of duties.,high,semantic,StateRAMP Rev5 Moderate AC-5 requires Define system access authorizations to support separation of duties.. NIST 800-82 r3 Moderate AC-5 requires Define system access authorizations to support separation of duties.. Both address OT cybersecurity safeguards.,subset_of,7,AC-05 - Separation of Duties,AC-5,Define system access authorizations to support separation of duties.,Auto-mapped via ID-first + lexical scoring (score=0.698). Reclassified to subset_of (equal>50% safeguard).
AC-6,AC-06 - Least Privilege,"Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks.",high,semantic,"StateRAMP Rev5 Moderate AC-6 requires Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks.. NIST 800-82 r3 Moderate AC-6 requires Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks.. Both address OT cybersecurity safeguards.",subset_of,7,AC-06 - Least Privilege,AC-6,"Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks.",Auto-mapped via ID-first + lexical scoring (score=0.606). Reclassified to subset_of (equal>50% safeguard).
AC-6(1),AC-06(01) - Authorize Access to Security Functions,Authorize access for to: (a) ; and (b) .,high,semantic,StateRAMP Rev5 Moderate AC-6(1) requires Authorize access for to: (a) ; and (b) .. NIST 800-82 r3 Moderate AC-6(1) requires Authorize access for to: (a) ; and (b) .. Both address OT cybersecurity safeguards.,subset_of,7,AC-06(01) - Authorize Access to Security Functions,AC-6(1),Authorize access for to: (a) ; and (b) .,Auto-mapped via ID-first + lexical scoring (score=0.774). Reclassified to subset_of (equal>50% safeguard).
AC-6(2),AC-06(02) - Non-privileged Access for Nonsecurity Functions,"Require that users of system accounts (or roles) with access to use non-privileged accounts or roles, when accessing nonsecurity functions.",high,functional,"StateRAMP Rev5 Moderate AC-6(2) requires Require that users of system accounts (or roles) with access to use non-privileged accounts or roles, when accessing nonsecurity functions.. NIST 800-82 r3 Moderate AC-6(2) requires Require that users of system accounts (or roles) with access to use non-privileged accounts or roles, when accessing nonsecurity functions.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,4,AC-06(02) - Non-privileged Access for Nonsecurity Functions,AC-6(2),"Require that users of system accounts (or roles) with access to use non-privileged accounts or roles, when accessing nonsecurity functions.",Auto-mapped via ID-first + lexical scoring (score=0.548).
AC-6(5),AC-06(05) - Privileged Accounts,Restrict privileged accounts on the system to .,high,semantic,StateRAMP Rev5 Moderate AC-6(5) requires Restrict privileged accounts on the system to .. NIST 800-82 r3 Moderate AC-6(5) requires Restrict privileged accounts on the system to .. Both address OT cybersecurity safeguards.,subset_of,7,AC-06(05) - Privileged Accounts,AC-6(5),Restrict privileged accounts on the system to .,Auto-mapped via ID-first + lexical scoring (score=0.806). Reclassified to subset_of (equal>50% safeguard).
AC-6(7),AC-06(07) - Review of User Privileges,"(a) Review the privileges assigned to to validate the need for such privileges; and (b) Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs.",high,semantic,"StateRAMP Rev5 Moderate AC-6(7) requires (a) Review the privileges assigned to to validate the need for such privileges; and (b) Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs.. NIST 800-82 r3 Moderate AC-6(7) requires (a) Review the privileges assigned to to validate the need for such privileges; and (b) Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs.. Both address OT cybersecurity safeguards.",equal,10,AC-06(07) - Review of User Privileges,AC-6(7),"(a) Review the privileges assigned to to validate the need for such privileges; and (b) Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs.",Auto-mapped via ID-first + lexical scoring (score=1.000).
AC-6(9),AC-06(09) - Log Use of Privileged Functions,Log the execution of privileged functions.,high,semantic,StateRAMP Rev5 Moderate AC-6(9) requires Log the execution of privileged functions.. NIST 800-82 r3 Moderate AC-6(9) requires Log the execution of privileged functions.. Both address OT cybersecurity safeguards.,subset_of,7,AC-06(09) - Log Use of Privileged Functions,AC-6(9),Log the execution of privileged functions.,Auto-mapped via ID-first + lexical scoring (score=0.774). Reclassified to subset_of (equal>50% safeguard).
AC-6(10),AC-06(10) - Prohibit Non-privileged Users from Executing Privileged Functions,Prevent non-privileged users from executing privileged functions.,high,semantic,StateRAMP Rev5 Moderate AC-6(10) requires Prevent non-privileged users from executing privileged functions.. NIST 800-82 r3 Moderate AC-6(10) requires Prevent non-privileged users from executing privileged functions.. Both address OT cybersecurity safeguards.,equal,10,AC-06(10) - Prohibit Non-privileged Users from Executing Privileged Functions,AC-6(10),Prevent non-privileged users from executing privileged functions.,Auto-mapped via ID-first + lexical scoring (score=0.917).
AC-7,AC-07 - Unsuccessful Logon Attempts,Enforce a limit of consecutive invalid logon attempts by a user during a ; and b.,high,semantic,StateRAMP Rev5 Moderate AC-7 requires Enforce a limit of consecutive invalid logon attempts by a user during a ; and b.. NIST 800-82 r3 Moderate AC-7 requires Enforce a limit of consecutive invalid logon attempts by a user during a ; and b.. Both address OT cybersecurity safeguards.,subset_of,7,AC-07 - Unsuccessful Logon Attempts,AC-7,Enforce a limit of consecutive invalid logon attempts by a user during a ; and b.,Auto-mapped via ID-first + lexical scoring (score=0.765). Reclassified to subset_of (equal>50% safeguard).
AC-8,AC-08 - System Use Notification,"Display to users before granting access to the system that provides privacy and security notices consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines and state that: 1.",high,semantic,"StateRAMP Rev5 Moderate AC-8 requires Display to users before granting access to the system that provides privacy and security notices consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines and state that: 1.. NIST 800-82 r3 Moderate AC-8 requires Display to users before granting access to the system that provides privacy and security notices consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines and state that: 1.. Both address OT cybersecurity safeguards.",subset_of,7,AC-08 - System Use Notification,AC-8,"Display to users before granting access to the system that provides privacy and security notices consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines and state that: 1.",Auto-mapped via ID-first + lexical scoring (score=0.661). Reclassified to subset_of (equal>50% safeguard).
AC-11,AC-11 - Device Lock,Prevent further access to the system by ; and b.,high,semantic,StateRAMP Rev5 Moderate AC-11 requires Prevent further access to the system by ; and b.. NIST 800-82 r3 Moderate AC-11 requires Prevent further access to the system by ; and b.. Both address OT cybersecurity safeguards.,subset_of,7,AC-11 - Device Lock,AC-11,Prevent further access to the system by ; and b.,Auto-mapped via ID-first + lexical scoring (score=0.673). Reclassified to subset_of (equal>50% safeguard).
AC-11(1),AC-11(01) - Pattern-hiding Displays,"Conceal, via the device lock, information previously visible on the display with a publicly viewable image.",high,semantic,"StateRAMP Rev5 Moderate AC-11(1) requires Conceal, via the device lock, information previously visible on the display with a publicly viewable image.. NIST 800-82 r3 Moderate AC-11(1) requires Conceal, via the device lock, information previously visible on the display with a publicly viewable image.. Both address OT cybersecurity safeguards.",subset_of,7,AC-11(01) - Pattern-hiding Displays,AC-11(1),"Conceal, via the device lock, information previously visible on the display with a publicly viewable image.",Auto-mapped via ID-first + lexical scoring (score=0.673). Reclassified to subset_of (equal>50% safeguard).
AC-12,AC-12 - Session Termination,Automatically terminate a user session after .,high,semantic,StateRAMP Rev5 Moderate AC-12 requires Automatically terminate a user session after .. NIST 800-82 r3 Moderate AC-12 requires Automatically terminate a user session after .. Both address OT cybersecurity safeguards.,subset_of,7,AC-12 - Session Termination,AC-12,Automatically terminate a user session after .,Auto-mapped via ID-first + lexical scoring (score=0.841). Reclassified to subset_of (equal>50% safeguard).
AC-14,AC-14 - Permitted Actions Without Identification or Authentication,Identify that can be performed on the system without identification or authentication consistent with organizational mission and business functions; and b.,high,semantic,StateRAMP Rev5 Moderate AC-14 requires Identify that can be performed on the system without identification or authentication consistent with organizational mission and business functions; and b.. NIST 800-82 r3 Moderate AC-14 requires Identify that can be performed on the system without identification or authentication consistent with organizational mission and business functions; and b.. Both address OT cybersecurity safeguards.,equal,10,AC-14 - Permitted Actions Without Identification or Authentication,AC-14,Identify that can be performed on the system without identification or authentication consistent with organizational mission and business functions; and b.,Auto-mapped via ID-first + lexical scoring (score=1.000).
AC-17,AC-17 - Remote Access,"Establish and document usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed; and b.",high,semantic,"StateRAMP Rev5 Moderate AC-17 requires Establish and document usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed; and b.. NIST 800-82 r3 Moderate AC-17 requires Establish and document usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed; and b.. Both address OT cybersecurity safeguards.",equal,10,AC-17 - Remote Access,AC-17,"Establish and document usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed; and b.",Auto-mapped via ID-first + lexical scoring (score=0.928).
AC-17(1),AC-17(01) - Monitoring and Control,Employ automated mechanisms to monitor and control remote access methods.,high,semantic,StateRAMP Rev5 Moderate AC-17(1) requires Employ automated mechanisms to monitor and control remote access methods.. NIST 800-82 r3 Moderate AC-17(1) requires Employ automated mechanisms to monitor and control remote access methods.. Both address OT cybersecurity safeguards.,subset_of,7,AC-17(01) - Monitoring and Control,AC-17(1),Employ automated mechanisms to monitor and control remote access methods.,Auto-mapped via ID-first + lexical scoring (score=0.679). Reclassified to subset_of (equal>50% safeguard).
AC-17(2),AC-17(02) - Protection of Confidentiality and Integrity Using Encryption,Implement cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.,high,semantic,StateRAMP Rev5 Moderate AC-17(2) requires Implement cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.. NIST 800-82 r3 Moderate AC-17(2) requires Implement cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.. Both address OT cybersecurity safeguards.,subset_of,7,AC-17(02) - Protection of Confidentiality and Integrity Using Encryption,AC-17(2),Implement cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.,Auto-mapped via ID-first + lexical scoring (score=0.612). Reclassified to subset_of (equal>50% safeguard).
AC-17(3),AC-17(03) - Managed Access Control Points,Route remote accesses through authorized and managed network access control points.,high,semantic,StateRAMP Rev5 Moderate AC-17(3) requires Route remote accesses through authorized and managed network access control points.. NIST 800-82 r3 Moderate AC-17(3) requires Route remote accesses through authorized and managed network access control points.. Both address OT cybersecurity safeguards.,subset_of,7,AC-17(03) - Managed Access Control Points,AC-17(3),Route remote accesses through authorized and managed network access control points.,Auto-mapped via ID-first + lexical scoring (score=0.743). Reclassified to subset_of (equal>50% safeguard).
AC-17(4),AC-17(04) - Privileged Commands and Access,(a) Authorize the execution of privileged commands and access to security-relevant information via remote access only in a format that provides assessable evidence and for the following needs: ; and (b) Document the rationale for remote access in the security plan for the system.,high,semantic,StateRAMP Rev5 Moderate AC-17(4) requires (a) Authorize the execution of privileged commands and access to security-relevant information via remote access only in a format that provides assessable evidence and for the following needs: ; and (b) Document the rationale for remote access in the security plan for the system.. NIST 800-82 r3 Moderate AC-17(4) requires (a) Authorize the execution of privileged commands and access to security-relevant information via remote access only in a format that provides assessable evidence and for the following needs: ; and (b) Document the rationale for remote access in the security plan for the system.. Both address OT cybersecurity safeguards.,equal,10,AC-17(04) - Privileged Commands and Access,AC-17(4),(a) Authorize the execution of privileged commands and access to security-relevant information via remote access only in a format that provides assessable evidence and for the following needs: ; and (b) Document the rationale for remote access in the security plan for the system.,Auto-mapped via ID-first + lexical scoring (score=1.000).
AC-18,AC-18 - Wireless Access,"Establish configuration requirements, connection requirements, and implementation guidance for each type of wireless access; and b.",high,semantic,"StateRAMP Rev5 Moderate AC-18 requires Establish configuration requirements, connection requirements, and implementation guidance for each type of wireless access; and b.. NIST 800-82 r3 Moderate AC-18 requires Establish configuration requirements, connection requirements, and implementation guidance for each type of wireless access; and b.. Both address OT cybersecurity safeguards.",subset_of,7,AC-18 - Wireless Access,AC-18,"Establish configuration requirements, connection requirements, and implementation guidance for each type of wireless access; and b.",Auto-mapped via ID-first + lexical scoring (score=0.729). Reclassified to subset_of (equal>50% safeguard).
AC-18(1),AC-18(01) - Authentication and Encryption,Protect wireless access to the system using authentication of and encryption.,high,semantic,StateRAMP Rev5 Moderate AC-18(1) requires Protect wireless access to the system using authentication of and encryption.. NIST 800-82 r3 Moderate AC-18(1) requires Protect wireless access to the system using authentication of and encryption.. Both address OT cybersecurity safeguards.,subset_of,7,AC-18(01) - Authentication and Encryption,AC-18(1),Protect wireless access to the system using authentication of and encryption.,Auto-mapped via ID-first + lexical scoring (score=0.571). Reclassified to subset_of (equal>50% safeguard).
AC-18(3),AC-18(03) - Disable Wireless Networking,"Disable, when not intended for use, wireless networking capabilities embedded within system components prior to issuance and deployment.",high,semantic,"StateRAMP Rev5 Moderate AC-18(3) requires Disable, when not intended for use, wireless networking capabilities embedded within system components prior to issuance and deployment.. NIST 800-82 r3 Moderate AC-18(3) requires Disable, when not intended for use, wireless networking capabilities embedded within system components prior to issuance and deployment.. Both address OT cybersecurity safeguards.",equal,10,AC-18(03) - Disable Wireless Networking,AC-18(3),"Disable, when not intended for use, wireless networking capabilities embedded within system components prior to issuance and deployment.",Auto-mapped via ID-first + lexical scoring (score=1.000).
AC-19,AC-19 - Access Control for Mobile Devices,"Establish configuration requirements, connection requirements, and implementation guidance for organization-controlled mobile devices, to include when such devices are outside of controlled areas; and b.",high,semantic,"StateRAMP Rev5 Moderate AC-19 requires Establish configuration requirements, connection requirements, and implementation guidance for organization-controlled mobile devices, to include when such devices are outside of controlled areas; and b.. NIST 800-82 r3 Moderate AC-19 requires Establish configuration requirements, connection requirements, and implementation guidance for organization-controlled mobile devices, to include when such devices are outside of controlled areas; and b.. Both address OT cybersecurity safeguards.",equal,10,AC-19 - Access Control for Mobile Devices,AC-19,"Establish configuration requirements, connection requirements, and implementation guidance for organization-controlled mobile devices, to include when such devices are outside of controlled areas; and b.",Auto-mapped via ID-first + lexical scoring (score=1.000).
AC-19(5),AC-19(05) - Full Device or Container-based Encryption,Employ to protect the confidentiality and integrity of information on .,high,semantic,StateRAMP Rev5 Moderate AC-19(5) requires Employ to protect the confidentiality and integrity of information on .. NIST 800-82 r3 Moderate AC-19(5) requires Employ to protect the confidentiality and integrity of information on .. Both address OT cybersecurity safeguards.,equal,10,AC-19(05) - Full Device or Container-based Encryption,AC-19(5),Employ to protect the confidentiality and integrity of information on .,Auto-mapped via ID-first + lexical scoring (score=1.000).
AC-20,AC-20 - Use of External Systems,", consistent with the trust relationships established with other organizations owning, operating, and/or maintaining external systems, allowing authorized individuals to: 1.",high,semantic,"StateRAMP Rev5 Moderate AC-20 requires , consistent with the trust relationships established with other organizations owning, operating, and/or maintaining external systems, allowing authorized individuals to: 1.. NIST 800-82 r3 Moderate AC-20 requires , consistent with the trust relationships established with other organizations owning, operating, and/or maintaining external systems, allowing authorized individuals to: 1.. Both address OT cybersecurity safeguards.",subset_of,7,AC-20 - Use of External Systems,AC-20,", consistent with the trust relationships established with other organizations owning, operating, and/or maintaining external systems, allowing authorized individuals to: 1.",Auto-mapped via ID-first + lexical scoring (score=0.686). Reclassified to subset_of (equal>50% safeguard).
AC-20(1),AC-20(01) - Limits on Authorized Use,"Permit authorized individuals to use an external system to access the system or to process, store, or transmit organization-controlled information only after: (a) Verification of the implementation of controls on the external system as specified in the organization’s security and privacy policies an...",high,semantic,"StateRAMP Rev5 Moderate AC-20(1) requires Permit authorized individuals to use an external system to access the system or to process, store, or transmit organization-controlled information only after: (a) Verification of the implementation of controls on the external system as specified in the organization’s security and privacy policies an.... NIST 800-82 r3 Moderate AC-20(1) requires Permit authorized individuals to use an external system to access the system or to process, store, or transmit organization-controlled information only after: (a) Verification of the implementation of controls on the external system as specified in the organizationâ€™s security and privacy policies.... Both address OT cybersecurity safeguards.",equal,10,AC-20(01) - Limits on Authorized Use,AC-20(1),"Permit authorized individuals to use an external system to access the system or to process, store, or transmit organization-controlled information only after: (a) Verification of the implementation of controls on the external system as specified in the organizationâ€™s security and privacy policies...",Auto-mapped via ID-first + lexical scoring (score=1.000).
AC-20(2),AC-20(02) - Portable Storage Devices — Restricted Use,Restrict the use of organization-controlled portable storage devices by authorized individuals on external systems using .,high,semantic,StateRAMP Rev5 Moderate AC-20(2) requires Restrict the use of organization-controlled portable storage devices by authorized individuals on external systems using .. NIST 800-82 r3 Moderate AC-20(2) requires Restrict the use of organization-controlled portable storage devices by authorized individuals on external systems using .. Both address OT cybersecurity safeguards.,equal,10,AC-20(02) - Portable Storage Devices â€” Restricted Use,AC-20(2),Restrict the use of organization-controlled portable storage devices by authorized individuals on external systems using .,Auto-mapped via ID-first + lexical scoring (score=1.000).
AC-21,AC-21 - Information Sharing,Enable authorized users to determine whether access authorizations assigned to a sharing partner match the information’s access and use restrictions for ; and b.,high,semantic,StateRAMP Rev5 Moderate AC-21 requires Enable authorized users to determine whether access authorizations assigned to a sharing partner match the information’s access and use restrictions for ; and b.. NIST 800-82 r3 Moderate AC-21 requires Enable authorized users to determine whether access authorizations assigned to a sharing partner match the informationâ€™s access and use restrictions for ; and b.. Both address OT cybersecurity safeguards.,equal,10,AC-21 - Information Sharing,AC-21,Enable authorized users to determine whether access authorizations assigned to a sharing partner match the informationâ€™s access and use restrictions for ; and b.,Auto-mapped via ID-first + lexical scoring (score=1.000).
AC-22,AC-22 - Publicly Accessible Content,Designate individuals authorized to make information publicly accessible; b.,high,semantic,StateRAMP Rev5 Moderate AC-22 requires Designate individuals authorized to make information publicly accessible; b.. NIST 800-82 r3 Moderate AC-22 requires Designate individuals authorized to make information publicly accessible; b.. Both address OT cybersecurity safeguards.,subset_of,7,AC-22 - Publicly Accessible Content,AC-22,Designate individuals authorized to make information publicly accessible; b.,Auto-mapped via ID-first + lexical scoring (score=0.890). Reclassified to subset_of (equal>50% safeguard).
AT-1,AT-01 - Policy and Procedures,"Develop, document, and disseminate to : 1.",high,semantic,"StateRAMP Rev5 Moderate AT-1 requires Develop, document, and disseminate to : 1.. NIST 800-82 r3 Moderate AT-1 requires Develop, document, and disseminate to : 1.. Both address OT cybersecurity safeguards.",equal,10,AT-01 - Policy and Procedures,AT-1,"Develop, document, and disseminate to : 1.",Auto-mapped via ID-first + lexical scoring (score=0.948).
