NIST IR 8477-Based Set Theory Relationship Mapping (STRM),,,,,,Focal Document:,HIPAA,,,,
Target Document:,CJIS Security Policy,,,,,Focal Document URL:,https://www.hhs.gov/hipaa/for-professionals/security/guidance/cybersecurity/index.html,,,,
164.308(a)(1)(ii)(A),Risk Analysis,Conduct an accurate and thorough assessment of potential risks and vulnerabilities to the CIA of ePHI.,high,semantic,"HIPAA 164.308(a)(1)(ii)(A) requires accurate and thorough assessment of potential risks and vulnerabilities to ePHI CIA. CJIS 5.19.RA-3 requires conducting a risk assessment identifying threats and vulnerabilities and determining likelihood and magnitude of harm. Both require systematic analysis of risks to sensitive information systems.",equal,10,5.19.RA-3 Risk Assessment,5.19.RA-3,Conduct a risk assessment including identifying threats to and vulnerabilities in the system; determining the likelihood and magnitude of harm from unauthorized access use disclosure disruption modification or destruction.,"Both require comprehensive risk and vulnerability assessments covering CIA impacts. HIPAA specifies assessment of ePHI; CJIS specifies assessment of CJI systems."
164.308(a)(1)(ii)(A),Risk Analysis,Conduct an accurate and thorough assessment of potential risks and vulnerabilities to the CIA of ePHI.,high,semantic,"HIPAA 164.308(a)(1)(ii)(A) requires vulnerability assessment. CJIS 5.19.RA-5 requires monitoring and scanning for vulnerabilities at least monthly. Both address identification of vulnerabilities in information systems holding sensitive data.",intersects_with,4,5.19.RA-5 Vulnerability Monitoring and Scanning,5.19.RA-5,Monitor and scan for vulnerabilities in the system and hosted applications at least monthly and when new vulnerabilities potentially affecting the system are identified and reported.,"HIPAA requires a comprehensive risk analysis as a periodic assessment; CJIS requires continuous vulnerability scanning. HIPAA additionally addresses broader risk probability and criticality; CJIS additionally specifies remediation timeframes by severity."
164.308(a)(1)(ii)(B),Risk Management,Implement security measures sufficient to reduce risks and vulnerabilities to a reasonable and appropriate level.,high,semantic,"HIPAA 164.308(a)(1)(ii)(B) requires implementing security measures sufficient to reduce risks to a reasonable and appropriate level. CJIS 5.19.RA-7 requires responding to findings from security assessments in accordance with organizational risk tolerance. Both require risk-based implementation of security measures to reduce identified risks.",equal,10,5.19.RA-7 Risk Response,5.19.RA-7,Respond to findings from security and privacy assessments monitoring and audits in accordance with organizational risk tolerance.,Both require taking risk-informed action to reduce identified vulnerabilities and risks to an acceptable level. HIPAA applies to ePHI; CJIS applies to CJI.
164.308(a)(1)(ii)(B),Risk Management,Implement security measures sufficient to reduce risks and vulnerabilities to a reasonable and appropriate level.,high,semantic,"HIPAA 164.308(a)(1)(ii)(B) requires risk reduction measures. CJIS 5.19.RA-5 requires vulnerability remediation within defined timeframes. Both require action to mitigate identified security vulnerabilities.",intersects_with,4,5.19.RA-5 Vulnerability Monitoring and Scanning,5.19.RA-5,Monitor and scan for vulnerabilities in the system and hosted applications at least monthly; remediate legitimate vulnerabilities within defined timeframes.,"HIPAA requires general risk reduction measures; CJIS specifies quantitative remediation timeframes by severity. HIPAA additionally addresses broader risk management strategies; CJIS additionally requires automated scanning tools."
164.308(a)(1)(ii)(C),Sanction Policy,Apply appropriate sanctions against workforce members who fail to comply with security policies and procedures.,high,semantic,"HIPAA 164.308(a)(1)(ii)(C) requires appropriate sanctions against workforce members who fail to comply with security policies and procedures. CJIS 5.12.4 requires a formal sanctions process for personnel failing to comply with established information security policies and procedures. Both require formal enforcement mechanisms for security policy compliance.",equal,10,5.12.4 Personnel Sanctions,5.12.4,The agency shall employ a formal sanctions process for personnel failing to comply with established information security policies and procedures.,Both require formal documented sanctions processes for workforce members who fail to comply with security policies. Direct semantic equivalence.
164.308(a)(1)(ii)(D),Information System Activity Review,Implement procedures to regularly review records of information system activity such as audit logs access reports and security incident tracking reports.,high,semantic,"HIPAA 164.308(a)(1)(ii)(D) requires regular review of information system activity including audit logs and access reports. CJIS 5.4.AU-6 requires weekly review and analysis of system audit records for indications of inappropriate or unusual activity. Both require regular review and analysis of audit records to detect security anomalies.",equal,10,5.4.AU-6 Audit Record Review Analysis and Reporting,5.4.AU-6,Review and analyze system audit records weekly for indications of inappropriate or unusual activity and the potential impact; report findings to organizational personnel with audit review and information security responsibilities.,"Both require regular review of audit records and reports for security monitoring. HIPAA specifies review of audit logs, access reports, and incident tracking; CJIS specifies weekly review frequency and reporting requirements."
164.308(a)(1)(ii)(D),Information System Activity Review,Implement procedures to regularly review records of information system activity such as audit logs access reports and security incident tracking reports.,high,semantic,"HIPAA 164.308(a)(1)(ii)(D) requires review of system activity records. CJIS 5.4.AU-2 requires identifying types of events for logging including authentication, file use, and user management events. Both require systematic logging and review of system activity.",intersects_with,4,5.4.AU-2 Event Logging,5.4.AU-2,Identify the types of events that the system is capable of logging in support of the audit function including authentication file use user/group management and operational transactions.,"HIPAA focuses on review of existing records; CJIS AU-2 focuses on defining what to log. HIPAA additionally covers access reports and incident tracking; CJIS additionally specifies event types and annual update requirements."
164.308(a)(2),Assigned Security Responsibility,Identify the security official responsible for development and implementation of security policies and procedures.,high,semantic,"HIPAA 164.308(a)(2) requires identification of a security official responsible for security policies and procedures. CJIS 5.6.IA-1 requires designating an individual with security responsibilities to manage identification and authentication policy and procedures. Both require designation of responsible individuals for security program management.",intersects_with,4,5.6.IA-1 Policy and Procedures,5.6.IA-1,Designate an individual with security responsibilities to manage the development documentation and dissemination of the identification and authentication policy and procedures.,"HIPAA requires a single designated security official for the entire security program; CJIS IA-1 designates responsibility for a specific control family. HIPAA is broader in scope; CJIS additionally covers specific IA policy domains."
164.308(a)(2),Assigned Security Responsibility,Identify the security official responsible for development and implementation of security policies and procedures.,high,semantic,"HIPAA 164.308(a)(2) requires identification of a security official. CJIS 5.3.IR-1 requires designating an individual with security responsibilities to manage incident response policy. Both require formal assignment of security management responsibility.",intersects_with,4,5.3.IR-1 Policy and Procedures,5.3.IR-1,Designate an individual with security responsibilities to manage the development documentation and dissemination of the incident response policy and procedures.,HIPAA establishes a single security official; CJIS establishes designated responsibility across multiple control families. Both require formal assignment of security accountability.
164.308(a)(3)(i),Workforce Security,Implement policies and procedures to ensure appropriate ePHI access and prevent unauthorized access.,high,semantic,"HIPAA 164.308(a)(3)(i) requires policies and procedures to ensure appropriate ePHI access and prevent unauthorized access by workforce members. CJIS 5.5.AC-1 requires agency-level access control policy addressing roles, responsibilities, and compliance. Both require formal access control policies governing workforce access to sensitive information.",equal,10,5.5.AC-1 Policy and Procedures,5.5.AC-1,Develop document and disseminate agency-level access control policy that addresses purpose scope roles responsibilities management commitment coordination among organizational entities and compliance.,Both require formal access control policies ensuring appropriate access by authorized personnel and preventing unauthorized access to sensitive information.
164.308(a)(3)(i),Workforce Security,Implement policies and procedures to ensure appropriate ePHI access and prevent unauthorized access.,high,semantic,"HIPAA 164.308(a)(3)(i) requires workforce access policies. CJIS 5.5.AC-2 requires defining and documenting types of accounts allowed and assigning account managers to control system access. Both require systematic management of workforce access authorizations.",intersects_with,4,5.5.AC-2 Account Management,5.5.AC-2,Define and document the types of accounts allowed and specifically prohibited for use within the system; assign account managers; specify authorized users and access authorizations for each account.,"HIPAA focuses on policy-level workforce access controls; CJIS AC-2 provides detailed technical account management requirements. HIPAA additionally addresses workforce clearance procedures; CJIS additionally specifies account lifecycle management procedures."
164.308(a)(3)(ii)(A),Authorization and/or Supervision,Implement procedures for authorization and/or supervision of workforce members who work with ePHI.,high,semantic,"HIPAA 164.308(a)(3)(ii)(A) requires procedures for authorization and supervision of workforce members accessing ePHI. CJIS 5.5.AC-2 requires approval processes for account creation and management based on valid access authorization. Both require formal authorization processes before granting access to sensitive information.",equal,10,5.5.AC-2 Account Management,5.5.AC-2,Define and document the types of accounts allowed; require approvals by organizational personnel with account management responsibilities for requests to create accounts; authorize access to the system based on a valid access authorization.,"Both require formal authorization and approval processes before workforce members receive access to sensitive information. HIPAA covers ePHI access authorization and supervision; CJIS covers account management authorization."
164.308(a)(3)(ii)(B),Workforce Clearance Procedure,Implement procedures to determine that access of a workforce member to ePHI is appropriate.,high,semantic,"HIPAA 164.308(a)(3)(ii)(B) requires procedures to determine whether workforce access to ePHI is appropriate. CJIS 5.12.1 requires state and national fingerprint-based record checks prior to granting access to CJI for all personnel with unescorted access. Both require pre-access screening to ensure appropriateness of access.",intersects_with,4,5.12.1 Personnel Screening Requirements,5.12.1,State of residency and national fingerprint-based record checks shall be conducted prior to granting access to CJI for all personnel who have unescorted access to unencrypted CJI.,"HIPAA requires determination of access appropriateness without specifying methods; CJIS requires specific fingerprint-based record checks. HIPAA additionally covers ongoing appropriateness assessment; CJIS additionally defines specific disqualifying criteria."
164.308(a)(3)(ii)(B),Workforce Clearance Procedure,Implement procedures to determine that access of a workforce member to ePHI is appropriate.,high,semantic,"HIPAA 164.308(a)(3)(ii)(B) requires determining appropriate access. CJIS 5.5.AC-6 requires employing least privilege principles. Both address ensuring only appropriate access is granted to sensitive information systems.",intersects_with,4,5.5.AC-6 Least Privilege,5.5.AC-6,Employ the principle of least privilege allowing only authorized accesses for users that are necessary to accomplish assigned organizational tasks.,"HIPAA focuses on procedures to verify access appropriateness; CJIS focuses on technical implementation of least privilege. Both ensure workforce access is limited to what is appropriate and necessary."
164.308(a)(3)(ii)(C),Termination Procedures,Implement procedures for terminating access to ePHI when employment ends or access is determined inappropriate.,high,semantic,"HIPAA 164.308(a)(3)(ii)(C) requires procedures to terminate ePHI access when employment ends. CJIS 5.12.2 requires immediate termination of access to local agency systems when personnel are terminated. Both require prompt revocation of access upon personnel termination.",equal,10,5.12.2 Personnel Termination,5.12.2,Upon termination of personnel by an interface agency the agency shall immediately terminate access to local agency systems with access to CJI and provide notification to ensure access to state and other agency systems is terminated.,"Both require immediate termination of system access when personnel leave the organization. HIPAA covers ePHI systems; CJIS covers CJI systems with additional notification requirements for state systems."
164.308(a)(3)(ii)(C),Termination Procedures,Implement procedures for terminating access to ePHI when employment ends or access is determined inappropriate.,high,semantic,"HIPAA 164.308(a)(3)(ii)(C) requires termination procedures. CJIS 5.5.AC-2(3) requires disabling accounts within one week of inactivity termination or policy violation. Both require timely deactivation of accounts when access is no longer appropriate.",intersects_with,4,5.5.AC-2(3) Account Management | Disable Accounts,5.5.AC-2(3),"Disable accounts within one week when the accounts have expired, are no longer associated with a user, are in violation of organizational policy, or have been inactive for 90 calendar days.","HIPAA focuses on employment termination triggering access revocation; CJIS provides broader account disabling criteria including inactivity. Both ensure timely removal of access when no longer appropriate."
164.308(a)(4)(i),Information Access Management,Implement policies and procedures for authorizing access to ePHI consistent with applicable requirements.,high,semantic,"HIPAA 164.308(a)(4)(i) requires policies and procedures for authorizing access to ePHI. CJIS 5.5.AC-1 requires agency-level access control policy and procedures. Both require formal documented policies governing access authorization to sensitive information.",equal,10,5.5.AC-1 Policy and Procedures,5.5.AC-1,Develop document and disseminate to organizational personnel with access control responsibilities: agency-level access control policy that addresses purpose scope roles responsibilities management commitment coordination among organizational entities and compliance.,"Both require documented access control policies and procedures as the foundation for information access management. HIPAA specifies ePHI; CJIS specifies CJI."
164.308(a)(4)(i),Information Access Management,Implement policies and procedures for authorizing access to ePHI consistent with applicable requirements.,high,semantic,"HIPAA 164.308(a)(4)(i) requires information access management policies. CJIS 5.5.AC-3 requires enforcement of approved authorizations for logical access. Both require policies and technical controls ensuring only authorized individuals access sensitive information.",intersects_with,4,5.5.AC-3 Access Enforcement,5.5.AC-3,Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.,"HIPAA focuses on policy and procedural access management; CJIS AC-3 focuses on technical enforcement of access authorizations. HIPAA additionally covers administrative controls; CJIS additionally specifies technical enforcement mechanisms."
164.308(a)(4)(ii)(A),Isolation Health Clearinghouse Functions,Health clearinghouses must implement policies protecting ePHI from unauthorized access by the larger organization.,medium,semantic,"HIPAA 164.308(a)(4)(ii)(A) requires health clearinghouses to protect ePHI from unauthorized access by larger parent organizations through isolation policies. CJIS 5.10.SC-4 requires prevention of unauthorized and unintended information transfer via shared system resources. Both address isolation and separation of sensitive information from unauthorized access within shared or larger system environments.",intersects_with,3,5.10.SC-4 Information in Shared System Resources,5.10.SC-4,Prevent unauthorized and unintended information transfer via shared system resources.,"HIPAA focuses on organizational isolation of clearinghouse functions; CJIS focuses on technical isolation within shared system resources. HIPAA additionally covers administrative separation policies; CJIS additionally addresses object reuse and residual information."
164.308(a)(4)(ii)(A),Isolation Health Clearinghouse Functions,Health clearinghouses must implement policies protecting ePHI from unauthorized access by the larger organization.,medium,semantic,"HIPAA 164.308(a)(4)(ii)(A) requires isolation policies for clearinghouse functions. CJIS 5.5.AC-5 requires identification and documentation of separation of duties. Both address logical and organizational separation to prevent unauthorized access to sensitive information.",intersects_with,3,5.5.AC-5 Separation of Duties,5.5.AC-5,Identify and document separation of duties based on specific duties operations or information systems as necessary to mitigate risk to CJI; define system access authorizations to support separation of duties.,"HIPAA focuses on organizational isolation of clearinghouse from parent entity; CJIS focuses on separation of duties to prevent abuse. Both address separation principles to protect sensitive data integrity and confidentiality."
164.308(a)(4)(ii)(B),Access Authorization,Implement policies and procedures for granting access to ePHI through workstations transactions programs or other mechanisms.,high,semantic,"HIPAA 164.308(a)(4)(ii)(B) requires policies and procedures for granting access to ePHI through various mechanisms. CJIS 5.5.AC-2 requires defining authorized users, assigning access authorizations, and requiring approvals for account creation. Both require formal policies and procedures for granting system access.",equal,10,5.5.AC-2 Account Management,5.5.AC-2,Define and document the types of accounts allowed; specify authorized users and access authorizations for each account; require approvals by organizational personnel with account management responsibilities for requests to create accounts.,"Both require documented policies and approval processes for granting access to sensitive information systems through workstations, programs, and other mechanisms."
164.308(a)(4)(ii)(C),Access Establishment and Modification,Implement policies establishing documenting reviewing and modifying user access rights to workstations transactions programs or processes.,high,semantic,"HIPAA 164.308(a)(4)(ii)(C) requires policies establishing, documenting, reviewing, and modifying user access rights. CJIS 5.5.AC-2 requires maintaining access authorizations, reviewing accounts for compliance annually, and modifying access when changes occur. Both require lifecycle management of user access rights with periodic review.",equal,10,5.5.AC-2 Account Management,5.5.AC-2,Define and document the types of accounts allowed; monitor the use of accounts; review accounts for compliance with account management requirements at least annually; modify accounts as organizational personnel change.,"Both require establishing, documenting, reviewing, and modifying user access rights as part of systematic access lifecycle management. HIPAA covers ePHI systems; CJIS covers CJI systems."
164.308(a)(4)(ii)(C),Access Establishment and Modification,Implement policies establishing documenting reviewing and modifying user access rights to workstations transactions programs or processes.,high,semantic,"HIPAA 164.308(a)(4)(ii)(C) requires review and modification of user access. CJIS 5.5.AC-6(7) requires annual review of privileges assigned to non-privileged and privileged users. Both require periodic review and adjustment of access rights.",intersects_with,4,5.5.AC-6(7) Least Privilege | Review of User Privileges,5.5.AC-6(7),"Review annually the privileges assigned to non-privileged and privileged users to validate the need for such privileges; reassign or remove privileges if necessary to correctly reflect organizational mission and business needs.",HIPAA requires ongoing review and modification of user access rights; CJIS requires annual privilege review. Both ensure access rights remain appropriate over time.
164.308(a)(5)(i),Security Awareness Training,Implement a security awareness and training program for all workforce members including management.,high,semantic,"HIPAA 164.308(a)(5)(i) requires a security awareness and training program for all workforce members including management. CJIS 5.2.AT-2 requires security and privacy literacy training to system users including managers, senior executives, and contractors prior to access and annually thereafter. Both require comprehensive security awareness training programs covering all organizational personnel.",equal,10,5.2.AT-2 Literacy Training and Awareness,5.2.AT-2,Provide security and privacy literacy training to system users including managers senior executives and contractors as part of initial training for new users prior to accessing CJI and annually thereafter.,"Both require comprehensive security awareness training for all workforce members including management, with initial training and annual refreshers."
164.308(a)(5)(i),Security Awareness Training,Implement a security awareness and training program for all workforce members including management.,high,semantic,"HIPAA 164.308(a)(5)(i) requires security training. CJIS 5.2.AT-3 requires role-based security and privacy training for personnel with different roles and responsibilities. Both require training programs covering security requirements for workforce members.",intersects_with,4,5.2.AT-3 Role-Based Training,5.2.AT-3,Provide role-based security and privacy training to personnel with defined roles and responsibilities before authorizing access and annually thereafter; update role-based training content annually.,"HIPAA requires a general awareness training program for all workforce members; CJIS additionally requires targeted role-based training for specific roles. CJIS is more specific in role requirements; HIPAA covers a broader workforce population."
164.308(a)(5)(ii)(A),Security Reminders,Distribute periodic security updates.,high,semantic,"HIPAA 164.308(a)(5)(ii)(A) requires periodic security updates/reminders. CJIS 5.2.AT-2 requires employing techniques such as displaying posters, logon screen messages, and email advisories to increase security awareness. Both require ongoing communication of security awareness information to workforce members.",equal,10,5.2.AT-2 Literacy Training and Awareness,5.2.AT-2,Employ techniques to increase the security and privacy awareness of system users including displaying posters offering security reminders displaying logon screen messages generating email advisories and conducting awareness events.,Both require distributing periodic security updates and reminders to workforce members through various communication channels.
164.308(a)(5)(ii)(B),Protection from Malicious Software,Implement procedures for guarding against detecting and reporting malicious software.,high,semantic,"HIPAA 164.308(a)(5)(ii)(B) requires procedures for guarding against, detecting, and reporting malicious software. CJIS 5.15.SI-3 requires implementing signature-based malicious code protection mechanisms to detect and eradicate malicious code at system entry and exit points. Both require technical and procedural controls for malicious software protection.",equal,10,5.15.SI-3 Malicious Code Protection,5.15.SI-3,Implement signature-based malicious code protection mechanisms at system entry and exit points to detect and eradicate malicious code; automatically update mechanisms; configure to perform periodic scans and block or quarantine malicious code.,"Both require procedures and technical mechanisms for guarding against, detecting, and responding to malicious software. HIPAA also covers reporting requirements; CJIS provides detailed technical implementation requirements."
164.308(a)(5)(ii)(B),Protection from Malicious Software,Implement procedures for guarding against detecting and reporting malicious software.,high,functional,"HIPAA 164.308(a)(5)(ii)(B) requires malware protection procedures. CJIS 5.13.4.2 requires agencies to have a process to approve specific software/applications on mobile devices. Both address malware prevention through different mechanisms for different device types.",intersects_with,4,5.13.4.2 Malicious Code Protection,5.13.4.2,Appropriately configured MDM software is capable of checking installed applications and reporting software inventory; agencies that allow smartphones and tablets to access CJI shall have a process to approve the use of specific software or applications.,"HIPAA requires general malware protection procedures; CJIS 5.13.4.2 focuses on mobile device malware protection through application control. Both address malware prevention but for different contexts."
164.308(a)(5)(ii)(C),Log-in Monitoring,Implement procedures for monitoring log-in attempts and reporting discrepancies.,high,semantic,"HIPAA 164.308(a)(5)(ii)(C) requires procedures for monitoring log-in attempts and reporting discrepancies. CJIS 5.4.AU-2 requires logging all successful and unsuccessful system log-on attempts. Both require systematic monitoring and recording of login activity to detect unauthorized access.",equal,10,5.4.AU-2 Event Logging,5.4.AU-2,Identify event types for logging within the system including all successful and unsuccessful system log-on attempts and attempts to use access create write delete and change permissions.,"Both require monitoring and recording of login attempts to detect unauthorized access attempts. HIPAA also requires reporting discrepancies; CJIS provides detailed event logging specifications."
164.308(a)(5)(ii)(C),Log-in Monitoring,Implement procedures for monitoring log-in attempts and reporting discrepancies.,high,semantic,"HIPAA 164.308(a)(5)(ii)(C) requires login monitoring. CJIS 5.5.AC-7 requires enforcing a limit on consecutive invalid logon attempts and automatically locking accounts. Both address monitoring and control of login attempts to prevent unauthorized access.",intersects_with,4,5.5.AC-7 Unsuccessful Logon Attempts,5.5.AC-7,Enforce a limit of five consecutive invalid logon attempts by a user during a 15-minute time period and automatically lock the account until released by an administrator when the maximum number of unsuccessful attempts is exceeded.,"HIPAA focuses on monitoring and reporting login discrepancies; CJIS AC-7 focuses on automated enforcement of lockout thresholds. Both address the security risk of unauthorized login attempts."
164.308(a)(5)(ii)(D),Password Management,Implement procedures for creating changing and safeguarding passwords.,high,semantic,"HIPAA 164.308(a)(5)(ii)(D) requires procedures for creating, changing, and safeguarding passwords. CJIS 5.6.IA-5(1) requires managing memorized secret authenticators including maintaining a list of commonly-used passwords and requiring specific password characteristics. Both require formal password management policies and procedures.",equal,10,5.6.IA-5 Authenticator Management,5.6.IA-5,Control: Manage system authenticators by verifying the identity of the individual receiving the authenticator; establishing content and procedures for authenticator management; changing default authenticators prior to system use; and protecting authenticators.,"Both require procedures for creating, changing, and protecting passwords/authenticators. HIPAA frames this as password management; CJIS provides more detailed technical authenticator management requirements."
164.308(a)(5)(ii)(D),Password Management,Implement procedures for creating changing and safeguarding passwords.,high,semantic,"HIPAA 164.308(a)(5)(ii)(D) requires password management. CJIS 5.6.IA-5(1) requires managing memorized secret authenticators with specific standards. Both require controls over password creation, change, and protection.",intersects_with,4,5.6.IA-5(1) Authenticator Management | Authenticator Types,5.6.IA-5(1),"Maintain a list of commonly-used, expected, or compromised passwords; verify passwords are not on the list; enforce minimum password requirements; require password changes after security events.",HIPAA requires general password management procedures; CJIS IA-5(1) provides specific technical requirements for memorized secret authenticators including compromise lists and complexity requirements.
164.308(a)(6)(i),Security Incident Procedures,Implement policies and procedures to address security incidents.,high,semantic,"HIPAA 164.308(a)(6)(i) requires policies and procedures to address security incidents. CJIS 5.3.IR-1 requires development and dissemination of agency-level incident response policy and procedures. Both require formal documented incident response policies and procedures.",equal,10,5.3.IR-1 Policy and Procedures,5.3.IR-1,Develop document and disseminate agency-level incident response policy and procedures addressing purpose scope roles responsibilities management commitment coordination among organizational entities and compliance.,"Both require documented policies and procedures for addressing security incidents. HIPAA specifies ePHI incidents; CJIS specifies CJI-related incidents."
164.308(a)(6)(i),Security Incident Procedures,Implement policies and procedures to address security incidents.,high,semantic,"HIPAA 164.308(a)(6)(i) requires security incident procedures. CJIS 5.3.IR-8 requires development of a comprehensive incident response plan. Both require formal planning frameworks for responding to security incidents.",intersects_with,4,5.3.IR-8 Incident Response Plan,5.3.IR-8,Develop an incident response plan that provides the organization with a roadmap for implementing its incident response capability and describes the structure organization and high-level approach for how the incident response capability fits into the overall organization.,"HIPAA requires policies and procedures for addressing incidents; CJIS requires a comprehensive incident response plan with detailed organizational structure. HIPAA is broader in scope; CJIS is more prescriptive in plan content."
164.308(a)(6)(ii),Response and Reporting,Identify and respond to suspected or known security incidents; mitigate harmful effects; document incidents and outcomes.,high,semantic,"HIPAA 164.308(a)(6)(ii) requires identifying, responding to, mitigating, and documenting security incidents. CJIS 5.3.IR-4 requires implementing incident handling capability covering preparation, detection, containment, eradication, and recovery. Both require comprehensive incident response activities.",equal,10,5.3.IR-4 Incident Handling,5.3.IR-4,Implement an incident handling capability for incidents consistent with the incident response plan including preparation detection and analysis containment eradication and recovery; coordinate incident handling activities with contingency planning activities.,"Both require active incident response including identification, containment, and recovery. HIPAA emphasizes mitigation of harmful effects and documentation; CJIS provides more detailed handling phases."
