"control_id","title","family","control_type","sortId","uuid","description"
"AC-4(21)","AC-04(21) - Physical or Logical Separation of Information Flows","Access Control","","ac-04.21","a527fc80-a21d-41f6-93f8-34f7ce2dccd3","Separate information flows logically or physically using {{ insert: param, AC-4(21)-1 }} to accomplish {{ insert: param, AC-4(21)-2 }}.GuidanceEnforcing the separation of information flows associated with defined types of data can enhance protection by ensuring that information is not commingled while in transit and by enabling flow control by transmission paths that are not otherwise achievable. Types of separable information include inbound and outbound communications traffic, service requests and responses, and information of differing security impact or classification levels."
"AC-5","AC-05 - Separation of Duties","Access Control","","ac-05","6374cbab-8dd4-4c1a-a49e-70b1c2e8d4b6","a. Identify and document {{ insert: param, AC-5(a) }} ; andb. Define system access authorizations to support separation of duties.GuidanceSeparation of duties addresses the potential for abuse of authorized privileges and helps to reduce the risk of malevolent activity without collusion. Separation of duties includes dividing mission or business functions and support functions among different individuals or roles, conducting system support functions with different individuals, and ensuring that security personnel who administer access control functions do not also administer audit functions. Because separation of duty violations can span systems and application domains, organizations consider the entirety of systems and system components when developing policy on separation of duties. Separation of duties is enforced through the account management activities in <a href=""#ac-2"">AC-2</a> , access control mechanisms in <a href=""#ac-3"">AC-3</a> , and identity management activities in <a href=""#ia-2"">IA-2</a>, <a href=""#ia-4"">IA-4</a> , and <a href=""#ia-12"">IA-12</a>.AC-5 Additional FedRAMP Requirements and Guidance<b>Guidance:</b> CSPs have the option to provide a separation of duties matrix as an attachment to the SSP."
"AC-6","AC-06 - Least Privilege","Access Control","","ac-06","545d4412-4faf-4cc6-9fdb-47bf33b88480","Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks.GuidanceOrganizations employ least privilege for specific duties and systems. The principle of least privilege is also applied to system processes, ensuring that the processes have access to systems and operate at privilege levels no higher than necessary to accomplish organizational missions or business functions. Organizations consider the creation of additional processes, roles, and accounts as necessary to achieve least privilege. Organizations apply least privilege to the development, implementation, and operation of organizational systems."
"AC-6(1)","AC-06(01) - Authorize Access to Security Functions","Access Control","","ac-06.01","dd3dff9c-4e8c-4df2-8f75-d888c2f7dba6","Authorize access for {{ insert: param, AC-6(1) }} to:(a) {{ insert: param, AC-6(1)(a) }} ; and(b) {{ insert: param, AC-6(1)(b) }}.GuidanceSecurity functions include establishing system accounts, configuring access authorizations (i.e., permissions, privileges), configuring settings for events to be audited, and establishing intrusion detection parameters. Security-relevant information includes filtering rules for routers or firewalls, configuration parameters for security services, cryptographic key management information, and access control lists. Authorized personnel include security administrators, system administrators, system security officers, system programmers, and other privileged users."
"AC-6(2)","AC-06(02) - Non-privileged Access for Nonsecurity Functions","Access Control","","ac-06.02","92654f88-940b-4936-95c5-b23a45b55486","Require that users of system accounts (or roles) with access to {{ insert: param, AC-6(2) }} use non-privileged accounts or roles, when accessing nonsecurity functions.GuidanceRequiring the use of non-privileged accounts when accessing nonsecurity functions limits exposure when operating from within privileged accounts or roles. The inclusion of roles addresses situations where organizations implement access control policies, such as role-based access control, and where a change of role provides the same degree of assurance in the change of access authorizations for the user and the processes acting on behalf of the user as would be provided by a change between a privileged and non-privileged account.AC-6 (2) Additional FedRAMP Requirements and Guidance<b>Guidance:</b> Examples of security functions include but are not limited to: establishing system accounts, configuring access authorizations (i.e., permissions, privileges), setting events to be audited, and setting intrusion detection parameters, system programming, system and security administration, other privileged functions."
"AC-6(5)","AC-06(05) - Privileged Accounts","Access Control","","ac-06.05","4f7b68a9-fb37-42f4-8705-5cecd0cd7e4e","Restrict privileged accounts on the system to {{ insert: param, AC-6(5) }}.GuidancePrivileged accounts, including super user accounts, are typically described as system administrator for various types of commercial off-the-shelf operating systems. Restricting privileged accounts to specific personnel or roles prevents day-to-day users from accessing privileged information or privileged functions. Organizations may differentiate in the application of restricting privileged accounts between allowed privileges for local accounts and for domain accounts provided that they retain the ability to control system configurations for key parameters and as otherwise necessary to sufficiently mitigate risk."
"AC-6(7)","AC-06(07) - Review of User Privileges","Access Control","","ac-06.07","fbeaa102-57de-4f09-8120-82971f507828","(a) Review {{ insert: param, AC-6(7)(a)-1 }} the privileges assigned to {{ insert: param, AC-6(7)(a)-2 }} to validate the need for such privileges; and(b) Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs.GuidanceThe need for certain assigned user privileges may change over time to reflect changes in organizational mission and business functions, environments of operation, technologies, or threats. A periodic review of assigned user privileges is necessary to determine if the rationale for assigning such privileges remains valid. If the need cannot be revalidated, organizations take appropriate corrective actions."
"AC-6(9)","AC-06(09) - Log Use of Privileged Functions","Access Control","","ac-06.09","d5b54445-eda0-4f03-9571-4340063db744","Log the execution of privileged functions.GuidanceThe misuse of privileged functions, either intentionally or unintentionally by authorized users or by unauthorized external entities that have compromised system accounts, is a serious and ongoing concern and can have significant adverse impacts on organizations. Logging and analyzing the use of privileged functions is one way to detect such misuse and, in doing so, help mitigate the risk from insider threats and the advanced persistent threat."
"AC-6(10)","AC-06(10) - Prohibit Non-privileged Users from Executing Privileged Functions","Access Control","","ac-06.10","70c7163c-3277-4832-8245-68889777cc4a","Prevent non-privileged users from executing privileged functions.GuidancePrivileged functions include disabling, circumventing, or altering implemented security or privacy controls, establishing system accounts, performing system integrity checks, and administering cryptographic key management activities. Non-privileged users are individuals who do not possess appropriate authorizations. Privileged functions that require protection from non-privileged users include circumventing intrusion detection and prevention mechanisms or malicious code protection mechanisms. Preventing non-privileged users from executing privileged functions is enforced by <a href=""#ac-3"">AC-3</a>."
"AC-11","AC-11 - Device Lock","Access Control","","ac-11","6cc46614-f7d0-4386-862d-1e8b44ff6f3d","a. Prevent further access to the system by {{ insert: param, AC-11(a) }} ; andb. Retain the device lock until the user reestablishes access using established identification and authentication procedures.GuidanceDevice locks are temporary actions taken to prevent logical access to organizational systems when users stop work and move away from the immediate vicinity of those systems but do not want to log out because of the temporary nature of their absences. Device locks can be implemented at the operating system level or at the application level. A proximity lock may be used to initiate the device lock (e.g., via a Bluetooth-enabled device or dongle). User-initiated device locking is behavior or policy-based and, as such, requires users to take physical action to initiate the device lock. Device locks are not an acceptable substitute for logging out of systems, such as when organizations require users to log out at the end of workdays."
"AC-11(1)","AC-11(01) - Pattern-hiding Displays","Access Control","","ac-11.01","f11632dd-c925-4c41-b2c0-3904f03c5287","Conceal, via the device lock, information previously visible on the display with a publicly viewable image.GuidanceThe pattern-hiding display can include static or dynamic images, such as patterns used with screen savers, photographic images, solid colors, clock, battery life indicator, or a blank screen with the caveat that controlled unclassified information is not displayed."
"AC-12","AC-12 - Session Termination","Access Control","","ac-12","6d717929-1aaf-4bf0-a1ea-c3c800820edf","Automatically terminate a user session after {{ insert: param, AC-12 }}.GuidanceSession termination addresses the termination of user-initiated logical sessions (in contrast to <a href=""#sc-10"">SC-10</a> , which addresses the termination of network connections associated with communications sessions (i.e., network disconnect)). A logical session (for local, network, and remote access) is initiated whenever a user (or process acting on behalf of a user) accesses an organizational system. Such user sessions can be terminated without terminating network sessions. Session termination ends all processes associated with a user’s logical session except for those processes that are specifically created by the user (i.e., session owner) to continue after the session is terminated. Conditions or trigger events that require automatic termination of the session include organization-defined periods of user inactivity, targeted responses to certain types of incidents, or time-of-day restrictions on system use."
"AC-17(1)","AC-17(01) - Monitoring and Control","Access Control","","ac-17.01","8c311dcf-912e-4026-8611-230c1600f384","Employ automated mechanisms to monitor and control remote access methods.GuidanceMonitoring and control of remote access methods allows organizations to detect attacks and help ensure compliance with remote access policies by auditing the connection activities of remote users on a variety of system components, including servers, notebook computers, workstations, smart phones, and tablets. Audit logging for remote access is enforced by <a href=""#au-2"">AU-2</a> . Audit events are defined in <a href=""#au-2_smt.a"">AU-2a</a>."
"AC-17(2)","AC-17(02) - Protection of Confidentiality and Integrity Using Encryption","Access Control","","ac-17.02","5e493150-d30b-4692-b5f1-5c6ca14f7fe1","Implement cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.GuidanceVirtual private networks can be used to protect the confidentiality and integrity of remote access sessions. Transport Layer Security (TLS) is an example of a cryptographic protocol that provides end-to-end communications security over networks and is used for Internet communications and online transactions."
"AC-17(3)","AC-17(03) - Managed Access Control Points","Access Control","","ac-17.03","2014dd8c-c71f-49b9-9e75-0ef23f152e40","Route remote accesses through authorized and managed network access control points.GuidanceOrganizations consider the Trusted Internet Connections (TIC) initiative <a href=""#4f42ee6e-86cc-403b-a51f-76c2b4f81b54"">DHS TIC</a> requirements for external network connections since limiting the number of access control points for remote access reduces attack surfaces."
"AC-17(4)","AC-17(04) - Privileged Commands and Access","Access Control","","ac-17.04","32a2ec7e-1066-4aa2-a216-f840471edb6d","(a) Authorize the execution of privileged commands and access to security-relevant information via remote access only in a format that provides assessable evidence and for the following needs: {{ insert: param, AC-17(4)(a) }} ; and(b) Document the rationale for remote access in the security plan for the system.GuidanceRemote access to systems represents a significant potential vulnerability that can be exploited by adversaries. As such, restricting the execution of privileged commands and access to security-relevant information via remote access reduces the exposure of the organization and the susceptibility to threats by adversaries to the remote access capability."
"AC-18(1)","AC-18(01) - Authentication and Encryption","Access Control","","ac-18.01","f4a5d5cc-597e-44dc-8475-bf08fe0c34df","Protect wireless access to the system using authentication of {{ insert: param, AC-18(1) }} and encryption.GuidanceWireless networking capabilities represent a significant potential vulnerability that can be exploited by adversaries. To protect systems with wireless access points, strong authentication of users and devices along with strong encryption can reduce susceptibility to threats by adversaries involving wireless technologies."
"AC-18(3)","AC-18(03) - Disable Wireless Networking","Access Control","","ac-18.03","9eb09654-1ac5-41d1-985d-d6f53422b582","Disable, when not intended for use, wireless networking capabilities embedded within system components prior to issuance and deployment.GuidanceWireless networking capabilities that are embedded within system components represent a significant potential vulnerability that can be exploited by adversaries. Disabling wireless capabilities when not needed for essential organizational missions or functions can reduce susceptibility to threats by adversaries involving wireless technologies."
"AC-19(5)","AC-19(05) - Full Device or Container-based Encryption","Access Control","","ac-19.05","77d6a6f5-f0a3-4d25-98d9-9f146dc9e856","Employ {{ insert: param, AC-19(5)-1 }} to protect the confidentiality and integrity of information on {{ insert: param, AC-19(5)-2 }}.GuidanceContainer-based encryption provides a more fine-grained approach to data and information encryption on mobile devices, including encrypting selected data structures such as files, records, or fields."
"AC-20(1)","AC-20(01) - Limits on Authorized Use","Access Control","","ac-20.01","80ba8f62-c71c-43ff-9f87-ce8478f57353","Permit authorized individuals to use an external system to access the system or to process, store, or transmit organization-controlled information only after:(a) Verification of the implementation of controls on the external system as specified in the organization’s security and privacy policies and security and privacy plans; or(b) Retention of approved system connection or processing agreements with the organizational entity hosting the external system.GuidanceLimiting authorized use recognizes circumstances where individuals using external systems may need to access organizational systems. Organizations need assurance that the external systems contain the necessary controls so as not to compromise, damage, or otherwise harm organizational systems. Verification that the required controls have been implemented can be achieved by external, independent assessments, attestations, or other means, depending on the confidence level required by organizations."
"AC-20(2)","AC-20(02) - Portable Storage Devices — Restricted Use","Access Control","","ac-20.02","2be66ac4-b24e-4825-8461-813eb3c9568f","Restrict the use of organization-controlled portable storage devices by authorized individuals on external systems using {{ insert: param, AC-20(2) }}.GuidanceLimits on the use of organization-controlled portable storage devices in external systems include restrictions on how the devices may be used and under what conditions the devices may be used."
"AC-21","AC-21 - Information Sharing","Access Control","","ac-21","5697be0c-2c2e-4e47-9c61-6ac6055db0bf","a. Enable authorized users to determine whether access authorizations assigned to a sharing partner match the information’s access and use restrictions for {{ insert: param, AC-21(a) }} ; andb. Employ {{ insert: param, AC-21(b) }} to assist users in making information sharing and collaboration decisions.GuidanceInformation sharing applies to information that may be restricted in some manner based on some formal or administrative determination. Examples of such information include, contract-sensitive information, classified information related to special access programs or compartments, privileged information, proprietary information, and personally identifiable information. Security and privacy risk assessments as well as applicable laws, regulations, and policies can provide useful inputs to these determinations. Depending on the circumstances, sharing partners may be defined at the individual, group, or organizational level. Information may be defined by content, type, security category, or special access program or compartment. Access restrictions may include non-disclosure agreements (NDA). Information flow techniques and security attributes may be used to provide automated assistance to users making sharing and collaboration decisions."
"AT-2(3)","AT-02(03) - Social Engineering and Mining","Awareness and Training","","at-02.03","7878941c-5f98-4e65-b95f-db47478c1d8a","Provide literacy training on recognizing and reporting potential and actual instances of social engineering and social mining.GuidanceSocial engineering is an attempt to trick an individual into revealing information or taking an action that can be used to breach, compromise, or otherwise adversely impact a system. Social engineering includes phishing, pretexting, impersonation, baiting, quid pro quo, thread-jacking, social media exploitation, and tailgating. Social mining is an attempt to gather information about the organization that may be used to support future attacks. Literacy training includes information on how to communicate the concerns of employees and management regarding potential and actual instances of social engineering and data mining through organizational channels based on established policies and procedures."
"AU-3(1)","AU-03(01) - Additional Audit Information","Audit and Accountability","","au-03.01","576ddc09-7e61-45d8-87df-4c83966d50de","Generate audit records containing the following additional information: {{ insert: param, AU-3(1) }}.GuidanceThe ability to add information generated in audit records is dependent on system functionality to configure the audit record content. Organizations may consider additional information in audit records including, but not limited to, access control or flow control rules invoked and individual identities of group account users. Organizations may also consider limiting additional audit record information to only information that is explicitly needed for audit requirements. This facilitates the use of audit trails and audit logs by not including information in audit records that could potentially be misleading, make it more difficult to locate information of interest, or increase the risk to individuals' privacy.AU-3 (1) Additional FedRAMP Requirements and Guidance<b>Guidance:</b> For client-server transactions, the number of bytes sent and received gives bidirectional transfer information that can be helpful during an investigation or inquiry."
"AU-6(1)","AU-06(01) - Automated Process Integration","Audit and Accountability","","au-06.01","623d2285-8418-4cb3-9a5f-b54381b60ae2","Integrate audit record review, analysis, and reporting processes using {{ insert: param, AU-6(1) }}.GuidanceOrganizational processes that benefit from integrated audit record review, analysis, and reporting include incident response, continuous monitoring, contingency planning, investigation and response to suspicious activities, and Inspector General audits."
"AU-6(3)","AU-06(03) - Correlate Audit Record Repositories","Audit and Accountability","","au-06.03","cbf1eabd-4b11-448f-bcab-92f06023af47","Analyze and correlate audit records across different repositories to gain organization-wide situational awareness.GuidanceOrganization-wide situational awareness includes awareness across all three levels of risk management (i.e., organizational level, mission/business process level, and information system level) and supports cross-organization awareness."
"AU-7","AU-07 - Audit Record Reduction and Report Generation","Audit and Accountability","","au-07","43fa5e36-c4ea-45b6-8385-760f862c1425","Provide and implement an audit record reduction and report generation capability that:a. Supports on-demand audit record review, analysis, and reporting requirements and after-the-fact investigations of incidents; andb. Does not alter the original content or time ordering of audit records.GuidanceAudit record reduction is a process that manipulates collected audit log information and organizes it into a summary format that is more meaningful to analysts. Audit record reduction and report generation capabilities do not always emanate from the same system or from the same organizational entities that conduct audit logging activities. The audit record reduction capability includes modern data mining techniques with advanced data filters to identify anomalous behavior in audit records. The report generation capability provided by the system can generate customizable reports. Time ordering of audit records can be an issue if the granularity of the timestamp in the record is insufficient."
"AU-7(1)","AU-07(01) - Automatic Processing","Audit and Accountability","","au-07.01","852c5768-333f-4b90-9d77-e570911eeb25","Provide and implement the capability to process, sort, and search audit records for events of interest based on the following content: {{ insert: param, AU-7(1) }}.GuidanceEvents of interest can be identified by the content of audit records, including system resources involved, information objects accessed, identities of individuals, event types, event locations, event dates and times, Internet Protocol addresses involved, or event success or failure. Organizations may define event criteria to any degree of granularity required, such as locations selectable by a general networking location or by specific system component."
"AU-9(4)","AU-09(04) - Access by Subset of Privileged Users","Audit and Accountability","","au-09.04","201a06dc-94ad-4651-a6b1-8abb93770a9b","Authorize access to management of audit logging functionality to only {{ insert: param, AU-9(4) }}.GuidanceIndividuals or roles with privileged access to a system and who are also the subject of an audit by that system may affect the reliability of the audit information by inhibiting audit activities or modifying audit records. Requiring privileged access to be further defined between audit-related privileges and other privileges limits the number of users or roles with audit-related privileges."
"CA-2(3)","CA-02(03) - Leveraging Results from External Organizations","Assessment, Authorization, and Monitoring","","ca-02.03","c004729e-0ab8-4cb5-b7d8-e08a1acfcf46","Leverage the results of control assessments performed by {{ insert: param, CA-2(3)-1 }} on {{ insert: param, CA-2(3)-2 }} when the assessment meets {{ insert: param, CA-2(3)-3 }}.GuidanceOrganizations may rely on control assessments of organizational systems by other (external) organizations. Using such assessments and reusing existing assessment evidence can decrease the time and resources required for assessments by limiting the independent assessment activities that organizations need to perform. The factors that organizations consider in determining whether to accept assessment results from external organizations can vary. Such factors include the organization’s past experience with the organization that conducted the assessment, the reputation of the assessment organization, the level of detail of supporting assessment evidence provided, and mandates imposed by applicable laws, executive orders, directives, regulations, policies, standards, and guidelines. Accredited testing laboratories that support the Common Criteria Program <a href=""#6afc1b04-c9d6-4023-adbc-f8fbe33a3c73"">ISO 15408-1</a> , the NIST Cryptographic Module Validation Program (CMVP), or the NIST Cryptographic Algorithm Validation Program (CAVP) can provide independent assessment results that organizations can leverage."
"CA-7(1)","CA-07(01) - Independent Assessment","Assessment, Authorization, and Monitoring","","ca-07.01","2129df68-34f9-41e0-a3f1-87f930dc5288","Employ independent assessors or assessment teams to monitor the controls in the system on an ongoing basis.GuidanceOrganizations maximize the value of control assessments by requiring that assessments be conducted by assessors with appropriate levels of independence. The level of required independence is based on organizational continuous monitoring strategies. Assessor independence provides a degree of impartiality to the monitoring process. To achieve such impartiality, assessors do not create a mutual or conflicting interest with the organizations where the assessments are being conducted, assess their own work, act as management or employees of the organizations they are serving, or place themselves in advocacy positions for the organizations acquiring their services."
"CA-8(1)","CA-08(01) - Independent Penetration Testing Agent or Team","Assessment, Authorization, and Monitoring","","ca-08.01","3c5a0e0b-79c4-4034-8551-8e1a14e889f3","Employ an independent penetration testing agent or team to perform penetration testing on the system or system components.GuidanceIndependent penetration testing agents or teams are individuals or groups who conduct impartial penetration testing of organizational systems. Impartiality implies that penetration testing agents or teams are free from perceived or actual conflicts of interest with respect to the development, operation, or management of the systems that are the targets of the penetration testing. <a href=""#ca-2.1"">CA-2(1)</a> provides additional information on independent assessments that can be applied to penetration testing."
"CA-8(2)","CA-08(02) - Red Team Exercises","Assessment, Authorization, and Monitoring","","ca-08.02","1b3d9cf9-4f3a-49a7-b040-604fd32cd83f","Employ the following red-team exercises to simulate attempts by adversaries to compromise organizational systems in accordance with applicable rules of engagement: {{ insert: param, CA-8(2) }}.GuidanceRed team exercises extend the objectives of penetration testing by examining the security and privacy posture of organizations and the capability to implement effective cyber defenses. Red team exercises simulate attempts by adversaries to compromise mission and business functions and provide a comprehensive assessment of the security and privacy posture of systems and organizations. Such attempts may include technology-based attacks and social engineering-based attacks. Technology-based attacks include interactions with hardware, software, or firmware components and/or mission and business processes. Social engineering-based attacks include interactions via email, telephone, shoulder surfing, or personal conversations. Red team exercises are most effective when conducted by penetration testing agents and teams with knowledge of and experience with current adversarial tactics, techniques, procedures, and tools. While penetration testing may be primarily laboratory-based testing, organizations can use red team exercises to provide more comprehensive assessments that reflect real-world conditions. The results from red team exercises can be used by organizations to improve security and privacy awareness and training and to assess control effectiveness.CA-8(2) Additional FedRAMP Requirements and Guidance<b>Guidance:</b> See the FedRAMP Documents page> Penetration Test Guidancehttps://www.FedRAMP.gov/documents/"
"CM-2(2)","CM-02(02) - Automation Support for Accuracy and Currency","Configuration Management","","cm-02.02","43714a43-f401-4aae-a188-57c344035a2b","Maintain the currency, completeness, accuracy, and availability of the baseline configuration of the system using {{ insert: param, CM-2(2) }}.GuidanceAutomated mechanisms that help organizations maintain consistent baseline configurations for systems include configuration management tools, hardware, software, firmware inventory tools, and network management tools. Automated tools can be used at the organization level, mission and business process level, or system level on workstations, servers, notebook computers, network components, or mobile devices. Tools can be used to track version numbers on operating systems, applications, types of software installed, and current patch levels. Automation support for accuracy and currency can be satisfied by the implementation of <a href=""#cm-8.2"">CM-8(2)</a> for organizations that combine system component inventory and baseline configuration activities."
"CM-2(3)","CM-02(03) - Retention of Previous Configurations","Configuration Management","","cm-02.03","2c126ae9-018a-49d9-a66e-0a90c22aca50","Retain {{ insert: param, CM-2(3) }} of previous versions of baseline configurations of the system to support rollback.GuidanceRetaining previous versions of baseline configurations to support rollback include hardware, software, firmware, configuration files, configuration records, and associated documentation."
"CM-2(7)","CM-02(07) - Configure Systems and Components for High-risk Areas","Configuration Management","","cm-02.07","237b891f-2907-4629-8ac4-9725e2e676a1","(a) Issue {{ insert: param, CM-2(7)(a)-1 }} with {{ insert: param, CM-2(7)(a)-2 }} to individuals traveling to locations that the organization deems to be of significant risk; and(b) Apply the following controls to the systems or components when the individuals return from travel: {{ insert: param, CM-2(7)(b) }}.GuidanceWhen it is known that systems or system components will be in high-risk areas external to the organization, additional controls may be implemented to counter the increased threat in such areas. For example, organizations can take actions for notebook computers used by individuals departing on and returning from travel. Actions include determining the locations that are of concern, defining the required configurations for the components, ensuring that components are configured as intended before travel is initiated, and applying controls to the components after travel is completed. Specially configured notebook computers include computers with sanitized hard drives, limited applications, and more stringent configuration settings. Controls applied to mobile devices upon return from travel include examining the mobile device for signs of physical tampering and purging and reimaging disk drives. Protecting information that resides on mobile devices is addressed in the <a href=""#mp"">MP</a> (Media Protection) family."
