controlId,title,family,description,parameters,objectives,enhancements
CM-7(2),CM-07(02) - Prevent Program Execution,Configuration Management,"Prevent program execution in accordance with . Discussion Prevention of program execution addresses organizational policies, rules of behavior, and/or access agreements that restrict software usage and the terms and conditions imposed by the developer or manufacturer, including software licensing and copyrights. Restrictions include prohibiting auto-execute features, restricting roles allowed to approve program execution, permitting or prohibiting specific software programs, or restricting the number of program instances executed at the same time.","[{""uuid"":""a5aa5686-df25-4c17-82d9-e3572fb1c530"",""parameterId"":""CM-7(2)"",""text"":""[Selection (one or more): [(NESTED PARAMETER) Assignment for cm-07.02_odp.02: policies, rules of behavior, and/or access agreements regarding software program usage and restrictions]; rules authorizing the terms and conditions of software program usage]"",""constraints"":"""",""guidance"":"""",""default"":""[Selection (one or more): [(NESTED PARAMETER) Assignment for cm-07.02_odp.02: policies, rules of behavior, and/or access agreements regarding software program usage and restrictions]; rules authorizing the terms and conditions of software program usage]"",""displayName"":"""",""dataType"":"""",""otherId"":""cm-07.02_odp.01""}]","[{""uuid"":""6b741652-8f76-413f-84f7-9cd582e96e4b"",""name"":""CM-7(2)"",""objectiveType"":"""",""otherId"":""cm-7.2_smt"",""description"":""Prevent program execution in accordance with {{ insert: param, CM-7(2) }}.""}]",
CM-7(5),CM-07(05) - Authorized Software â€” Allow-by-exception,Configuration Management,"(a) Identify ; (b) Employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs on the system; and (c) Review and update the list of authorized software programs . Discussion Authorized software programs can be limited to specific versions or from a specific source. To facilitate a comprehensive authorized software process and increase the strength of protection for attacks that bypass application level authorized software, software programs may be decomposed into and monitored at different levels of detail. These levels include applications, application programming interfaces, application modules, scripts, system processes, system services, kernel functions, registries, drivers, and dynamic link libraries. The concept of permitting the execution of authorized software may also be applied to user actions, system ports and protocols, IP addresses/ranges, websites, and MAC addresses. Organizations consider verifying the integrity of authorized software programs using digital signatures, cryptographic checksums, or hash functions. Verification of authorized software can occur either prior to execution or at system startup. The identification of authorized URLs for websites is addressed in CA-3(5) and SC-7 . OT Discussion The set of applications that run in OT is relatively static, making allowlisting practical. DHS recommends using application allowlisting for OT equipment.","[{""uuid"":""f218ccf4-e64e-455c-a46e-239c2bf27cc5"",""parameterId"":""CM-7(5)(a)"",""text"":""software programs"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined software programs] "",""displayName"":"""",""dataType"":"""",""otherId"":""cm-07.05_odp.01""},{""uuid"":""77431448-5a82-426d-aba8-d6da832621a9"",""parameterId"":""CM-7(5)(c)"",""text"":""frequency"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined frequency] "",""displayName"":"""",""dataType"":"""",""otherId"":""cm-07.05_odp.02""}]","[{""uuid"":""268ad5e9-efa1-4ffe-ba86-077b685dfbad"",""name"":""(a)"",""objectiveType"":"""",""otherId"":""cm-7.5_smt.a"",""description"":""<ul><li>(a) Identify {{ insert: param, CM-7(5)(a) }};</li></ul>""},{""uuid"":""d9cfb3be-ea95-4049-b565-8573ea988304"",""name"":""(b)"",""objectiveType"":"""",""otherId"":""cm-7.5_smt.b"",""description"":""<ul><li>(b) Employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs on the system; and</li></ul>""},{""uuid"":""0991a29c-debe-4873-8696-df704716f23f"",""name"":""(c)"",""objectiveType"":"""",""otherId"":""cm-7.5_smt.c"",""description"":""<ul><li>(c) Review and update the list of authorized software programs {{ insert: param, CM-7(5)(c) }}.</li></ul>""}]",
CM-8,CM-08 - System Component Inventory,Configuration Management,"a. Develop and document an inventory of system components that: 1. Accurately reflects the system; 2. Includes all components within the system; 3. Does not include duplicate accounting of components or components assigned to any other system; 4. Is at the level of granularity deemed necessary for tracking and reporting; and 5. Includes the following information to achieve system component accountability: ; and b. Review and update the system component inventory . Discussion System components are discrete, identifiable information technology assets that include hardware, software, and firmware. Organizations may choose to implement centralized system component inventories that include components from all organizational systems. In such situations, organizations ensure that the inventories include system-specific information required for component accountability. The information necessary for effective accountability of system components includes the system name, software owners, software version numbers, hardware inventory specifications, software license information, and for networked components, the machine names and network addresses across all implemented protocols (e.g., IPv4, IPv6). Inventory specifications include date of receipt, cost, model, serial number, manufacturer, supplier information, component type, and physical location. Preventing duplicate accounting of system components addresses the lack of accountability that occurs when component ownership and system association is not known, especially in large or complex connected systems. Effective prevention of duplicate accounting of system components necessitates use of a unique identifier for each component. For software inventory, centrally managed software that is accessed via other systems is addressed as a component of the system on which it is installed and managed. Software installed on multiple organizational systems and managed at the system level is addressed for each individual system and may appear more than once in a centralized component inventory, necessitating a system association for each software instance in the centralized inventory to avoid duplicate accounting of components. Scanning systems implementing multiple network protocols (e.g., IPv4 and IPv6) can result in duplicate components being identified in different address spaces. The implementation of CM-8(7) can help to eliminate duplicate accounting of components.","[{""uuid"":""b06afb86-f664-416b-90f7-74fdf9ebe864"",""parameterId"":""CM-8(a)(5)"",""text"":""information"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined information] "",""displayName"":"""",""dataType"":"""",""otherId"":""cm-08_odp.01""},{""uuid"":""da504f9c-6108-4667-8af6-478cae93f220"",""parameterId"":""CM-8(b)"",""text"":""frequency"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined frequency] "",""displayName"":"""",""dataType"":"""",""otherId"":""cm-08_odp.02""}]","[{""uuid"":""b71e450a-f2f1-4bd5-b67b-fa46b4074750"",""name"":""a."",""objectiveType"":"""",""otherId"":""cm-8_smt.a"",""description"":""<ul><li>a. Develop and document an inventory of system components that:</li><ul><li>1. Accurately reflects the system;</li><li>2. Includes all components within the system;</li><li>3. Does not include duplicate accounting of components or components assigned to any other system;</li><li>4. Is at the level of granularity deemed necessary for tracking and reporting; and</li><li>5. Includes the following information to achieve system component accountability: {{ insert: param, CM-8(a)(5) }} ; and</li></ul>""},{""uuid"":""b194bd42-7217-4d82-88ca-a4596545f1ef"",""name"":""b."",""objectiveType"":"""",""otherId"":""cm-8_smt.b"",""description"":""<ul><li>b. Review and update the system component inventory {{ insert: param, CM-8(b) }}.</li></ul>""}]",Enhancements CM-8(1) - Updates During Installation and Removal CM-8(2) - Automated Maintenance CM-8(3) - Automated Unauthorized Component Detection CM-8(4) - Accountability Information CM-8(6) - Assessed Configurations and Approved Deviations CM-8(7) - Centralized Repository CM-8(8) - Automated Location Tracking CM-8(9) - Assignment of Components to Systems
CM-8(1),CM-08(01) - Updates During Installation and Removal,Configuration Management,"Update the inventory of system components as part of component installations, removals, and system updates. Discussion Organizations can improve the accuracy, completeness, and consistency of system component inventories if the inventories are updated as part of component installations or removals or during general system updates. If inventories are not updated at these key times, there is a greater likelihood that the information will not be appropriately captured and documented. System updates include hardware, software, and firmware components.",,"[{""uuid"":""d2581161-d1d0-4aec-add6-42714a801098"",""name"":""CM-8(1)"",""objectiveType"":"""",""otherId"":""cm-8.1_smt"",""description"":""Update the inventory of system components as part of component installations, removals, and system updates.""}]",
CM-8(3),CM-08(03) - Automated Unauthorized Component Detection,Configuration Management,"(a) Detect the presence of unauthorized hardware, software, and firmware components within the system using ; and (b) Take the following actions when unauthorized components are detected: . Discussion Automated unauthorized component detection is applied in addition to the monitoring for unauthorized remote connections and mobile devices. Monitoring for unauthorized system components may be accomplished on an ongoing basis or by the periodic scanning of systems for that purpose. Automated mechanisms may also be used to prevent the connection of unauthorized components (see CM-7(9) ). Automated mechanisms can be implemented in systems or in separate system components. When acquiring and implementing automated mechanisms, organizations consider whether such mechanisms depend on the ability of the system component to support an agent or supplicant in order to be detected since some types of components do not have or cannot support agents (e.g., IoT devices, sensors). Isolation can be achieved , for example, by placing unauthorized system components in separate domains or subnets or quarantining such components. This type of component isolation is commonly referred to as sandboxing.","[{""uuid"":""c68438e6-d299-4f98-85ff-43929a9463a1"",""parameterId"":""CM-8(3)(a)-1"",""text"":""organization-defined automated mechanisms"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization-defined automated mechanisms] "",""displayName"":"""",""dataType"":"""",""otherId"":""cm-8.3_prm_1""},{""uuid"":""0be6c768-b070-45d0-bc7c-e2a716ac9e38"",""parameterId"":""CM-8(3)(a)-2"",""text"":""frequency"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined frequency] "",""displayName"":"""",""dataType"":"""",""otherId"":""cm-08.03_odp.04""},{""uuid"":""508fb131-4f56-46c0-bb52-cb5f8ccf9bbc"",""parameterId"":""CM-8(3)(b)"",""text"":""[Selection (one or more): disable network access by unauthorized components; isolate unauthorized components; notify [(NESTED PARAMETER) Assignment for cm-08.03_odp.06: personnel or roles]]"",""constraints"":"""",""guidance"":"""",""default"":""[Selection (one or more): disable network access by unauthorized components; isolate unauthorized components; notify [(NESTED PARAMETER) Assignment for cm-08.03_odp.06: personnel or roles]]"",""displayName"":"""",""dataType"":"""",""otherId"":""cm-08.03_odp.05""}]","[{""uuid"":""613c52b8-5f61-4857-b78a-78d2a327188a"",""name"":""(a)"",""objectiveType"":"""",""otherId"":""cm-8.3_smt.a"",""description"":""<ul><li>(a) Detect the presence of unauthorized hardware, software, and firmware components within the system using {{ insert: param, CM-8(3)(a)-1 }} {{ insert: param, CM-8(3)(a)-2 }} ; and</li></ul>""},{""uuid"":""d32f64e8-8a1f-42e5-8d44-455f3bbc1d60"",""name"":""(b)"",""objectiveType"":"""",""otherId"":""cm-8.3_smt.b"",""description"":""<ul><li>(b) Take the following actions when unauthorized components are detected: {{ insert: param, CM-8(3)(b) }}.</li></ul>""}]",
CM-9,CM-09 - Configuration Management Plan,Configuration Management,"Develop, document, and implement a configuration management plan for the system that: a. Addresses roles, responsibilities, and configuration management processes and procedures; b. Establishes a process for identifying configuration items throughout the system development life cycle and for managing the configuration of the configuration items; c. Defines the configuration items for the system and places the configuration items under configuration management; d. Is reviewed and approved by ; and e. Protects the configuration management plan from unauthorized disclosure and modification. Discussion Configuration management activities occur throughout the system development life cycle. As such, there are developmental configuration management activities (e.g., the control of code and software libraries) and operational configuration management activities (e.g., control of installed components and how the components are configured). Configuration management plans satisfy the requirements in configuration management policies while being tailored to individual systems. Configuration management plans define processes and procedures for how configuration management is used to support system development life cycle activities. Configuration management plans are generated during the development and acquisition stage of the system development life cycle. The plans describe how to advance changes through change management processes; update configuration settings and baselines; maintain component inventories; control development, test, and operational environments; and develop, release, and update key documents. Organizations can employ templates to help ensure the consistent and timely development and implementation of configuration management plans. Templates can represent a configuration management plan for the organization with subsets of the plan implemented on a system by system basis. Configuration management approval processes include the designation of key stakeholders responsible for reviewing and approving proposed changes to systems, and personnel who conduct security and privacy impact analyses prior to the implementation of changes to the systems. Configuration items are the system components, such as the hardware, software, firmware, and documentation to be configuration-managed. As systems continue through the system development life cycle, new configuration items may be identified, and some existing configuration items may no longer need to be under configuration control. OT Discussion Configuration management plans apply to the internal and external (e.g., contractors, integrators) resources responsible for device configuration.","[{""uuid"":""6b0b9209-a9e2-4531-873b-d84a784440be"",""parameterId"":""CM-9(d)"",""text"":""personnel or roles"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined personnel or roles] "",""displayName"":"""",""dataType"":"""",""otherId"":""cm-09_odp""}]","[{""uuid"":""5a6ed828-5107-42f0-a2c8-42c0a14c9266"",""name"":""a."",""objectiveType"":"""",""otherId"":""cm-9_smt.a"",""description"":""<ul><li>a. Develop, document, and implement a configuration management plan for the system that: Addresses roles, responsibilities, and configuration management processes and procedures;</li></ul>""},{""uuid"":""d13a7cca-6400-4ab4-9dc1-3712c6f5ecee"",""name"":""b."",""objectiveType"":"""",""otherId"":""cm-9_smt.b"",""description"":""<ul><li>b. Develop, document, and implement a configuration management plan for the system that: Establishes a process for identifying configuration items throughout the system development life cycle and for managing the configuration of the configuration items;</li></ul>""},{""uuid"":""1dbd2a4a-9bd0-4572-b25d-935bbfa57c67"",""name"":""c."",""objectiveType"":"""",""otherId"":""cm-9_smt.c"",""description"":""<ul><li>c. Develop, document, and implement a configuration management plan for the system that: Defines the configuration items for the system and places the configuration items under configuration management;</li></ul>""},{""uuid"":""b09279af-e668-4f22-bbd3-7a8fef9dc60e"",""name"":""d."",""objectiveType"":"""",""otherId"":""cm-9_smt.d"",""description"":""<ul><li>d. Develop, document, and implement a configuration management plan for the system that: Is reviewed and approved by {{ insert: param, CM-9(d) }} ; and</li></ul>""},{""uuid"":""e559173d-387d-4edb-a6fe-6cd55aa5b778"",""name"":""e."",""objectiveType"":"""",""otherId"":""cm-9_smt.e"",""description"":""<ul><li>e. Develop, document, and implement a configuration management plan for the system that: Protects the configuration management plan from unauthorized disclosure and modification.</li></ul>""}]",Enhancements CM-9(1) - Assignment of Responsibility
CM-10,CM-10 - Software Usage Restrictions,Configuration Management,"a. Use software and associated documentation in accordance with contract agreements and copyright laws; b. Track the use of software and associated documentation protected by quantity licenses to control copying and distribution; and c. Control and document the use of peer-to-peer file sharing technology to ensure that this capability is not used for the unauthorized distribution, display, performance, or reproduction of copyrighted work. Discussion Software license tracking can be accomplished by manual or automated methods, depending on organizational needs. Examples of contract agreements include software license agreements and non-disclosure agreements.",,"[{""uuid"":""5c8cb967-adeb-4004-a9c1-5ccb4594319c"",""name"":""a."",""objectiveType"":"""",""otherId"":""cm-10_smt.a"",""description"":""<ul><li>a. Use software and associated documentation in accordance with contract agreements and copyright laws;</li></ul>""},{""uuid"":""36023c3c-8178-4304-9a77-d825c1886d79"",""name"":""b."",""objectiveType"":"""",""otherId"":""cm-10_smt.b"",""description"":""<ul><li>b. Track the use of software and associated documentation protected by quantity licenses to control copying and distribution; and</li></ul>""},{""uuid"":""5b80212e-e7d3-4832-b10e-680d9713493b"",""name"":""c."",""objectiveType"":"""",""otherId"":""cm-10_smt.c"",""description"":""<ul><li>c. Control and document the use of peer-to-peer file sharing technology to ensure that this capability is not used for the unauthorized distribution, display, performance, or reproduction of copyrighted work.</li></ul>""}]",Enhancements CM-10(1) - Open-source Software
CM-11,CM-11 - User-installed Software,Configuration Management,"a. Establish governing the installation of software by users; b. Enforce software installation policies through the following methods: ; and c. Monitor policy compliance . Discussion If provided the necessary privileges, users can install software in organizational systems. To maintain control over the software installed, organizations identify permitted and prohibited actions regarding software installation. Permitted software installations include updates and security patches to existing software and downloading new applications from organization-approved app stores. Prohibited software installations include software with unknown or suspect pedigrees or software that organizations consider potentially malicious. Policies selected for governing user-installed software are organization-developed or provided by some external entity. Policy enforcement methods can include procedural methods and automated methods.","[{""uuid"":""8013ba4d-d629-4f1d-9390-0392518d2224"",""parameterId"":""CM-11(a)"",""text"":""policies"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined policies] "",""displayName"":"""",""dataType"":"""",""otherId"":""cm-11_odp.01""},{""uuid"":""3584dce6-6463-45c0-bd2b-72b531d87e28"",""parameterId"":""CM-11(b)"",""text"":""methods"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined methods] "",""displayName"":"""",""dataType"":"""",""otherId"":""cm-11_odp.02""},{""uuid"":""cd55bd97-ece0-4409-9d75-3e9cf2bc4678"",""parameterId"":""CM-11(c)"",""text"":""frequency"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined frequency] "",""displayName"":"""",""dataType"":"""",""otherId"":""cm-11_odp.03""}]","[{""uuid"":""19bfeae5-b1e1-47d6-b5fa-8bd778180064"",""name"":""a."",""objectiveType"":"""",""otherId"":""cm-11_smt.a"",""description"":""<ul><li>a. Establish {{ insert: param, CM-11(a) }} governing the installation of software by users;</li></ul>""},{""uuid"":""ebeba97c-4a90-4fe2-baa3-948e80c2ee2c"",""name"":""b."",""objectiveType"":"""",""otherId"":""cm-11_smt.b"",""description"":""<ul><li>b. Enforce software installation policies through the following methods: {{ insert: param, CM-11(b) }} ; and</li></ul>""},{""uuid"":""82e969e4-9bc7-47e1-8b8d-a8886c6935a8"",""name"":""c."",""objectiveType"":"""",""otherId"":""cm-11_smt.c"",""description"":""<ul><li>c. Monitor policy compliance {{ insert: param, CM-11(c) }}.</li></ul>""}]",Enhancements CM-11(2) - Software Installation with Privileged Status CM-11(3) - Automated Enforcement and Monitoring
CM-12,CM-12 - Information Location,Configuration Management,"a. Identify and document the location of and the specific system components on which the information is processed and stored; b. Identify and document the users who have access to the system and system components where the information is processed and stored; and c. Document changes to the location (i.e., system or system components) where the information is processed and stored. Discussion Information location addresses the need to understand where information is being processed and stored. Information location includes identifying where specific information types and information reside in system components and how information is being processed so that information flow can be understood and adequate protection and policy management provided for such information and system components. The security category of the information is also a factor in determining the controls necessary to protect the information and the system component where the information resides (see FIPS 199 ). The location of the information and system components is also a factor in the architecture and design of the system (see SA-4 , SA-8 , SA-17 ). OT Discussion Organizations identify specific information types or components to track where information is being processed and stored. Information to consider in the OT environment may include shared account passwords, PLC backup files, detailed network drawings, and risk assessments that identify specific threats with the environment.","[{""uuid"":""3335dc9b-e5a4-4e10-8580-583a7e3d3698"",""parameterId"":""CM-12(a)"",""text"":""information"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined information] "",""displayName"":"""",""dataType"":"""",""otherId"":""cm-12_odp""}]","[{""uuid"":""89697fc2-ab75-40ad-9ca8-f00b9c4d65e2"",""name"":""a."",""objectiveType"":"""",""otherId"":""cm-12_smt.a"",""description"":""<ul><li>a. Identify and document the location of {{ insert: param, CM-12(a) }} and the specific system components on which the information is processed and stored;</li></ul>""},{""uuid"":""ad75c628-794b-4add-bed1-eda48b00a74d"",""name"":""b."",""objectiveType"":"""",""otherId"":""cm-12_smt.b"",""description"":""<ul><li>b. Identify and document the users who have access to the system and system components where the information is processed and stored; and</li></ul>""},{""uuid"":""35a1b17f-7d0f-4890-9729-65542c6dde50"",""name"":""c."",""objectiveType"":"""",""otherId"":""cm-12_smt.c"",""description"":""<ul><li>c. Document changes to the location (i.e., system or system components) where the information is processed and stored.</li></ul>""}]",Enhancements CM-12(1) - Automated Tools to Support Information Location
CM-12(1),CM-12(01) - Automated Tools to Support Information Location,Configuration Management,Use automated tools to identify on to ensure controls are in place to protect organizational information and individual privacy. Discussion The use of automated tools helps to increase the effectiveness and efficiency of the information location capability implemented within the system. Automation also helps organizations manage the data produced during information location activities and share such information across the organization. The output of automated information location tools can be used to guide and inform system architecture and design decisions.,"[{""uuid"":""653ffb95-0463-4fa8-8b7d-2550adb4a3dc"",""parameterId"":""CM-12(1)-1"",""text"":""information by information type"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined information by information type] "",""displayName"":"""",""dataType"":"""",""otherId"":""cm-12.01_odp.01""},{""uuid"":""f1811395-6016-4210-9ef5-2533ffe78f34"",""parameterId"":""CM-12(1)-2"",""text"":""system components"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined system components] "",""displayName"":"""",""dataType"":"""",""otherId"":""cm-12.01_odp.02""}]","[{""uuid"":""4b2bdb59-883d-46bf-a7d3-2eeeef50d29c"",""name"":""CM-12(1)"",""objectiveType"":"""",""otherId"":""cm-12.1_smt"",""description"":""Use automated tools to identify {{ insert: param, CM-12(1)-1 }} on {{ insert: param, CM-12(1)-2 }} to ensure controls are in place to protect organizational information and individual privacy.""}]",
CP-1,CP-01 - Policy and Procedures,Contingency Planning,"a. Develop, document, and disseminate to : 1. contingency planning policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the contingency planning policy and the associated contingency planning controls; b. Designate an to manage the development, documentation, and dissemination of the contingency planning policy and procedures; and c. Review and update the current contingency planning: 1. Policy and following ; and 2. Procedures and following . Discussion Contingency planning policy and procedures address the controls in the CP family that are implemented within systems and organizations. The risk management strategy is an important factor in establishing such policies and procedures. Policies and procedures contribute to security and privacy assurance. Therefore, it is important that security and privacy programs collaborate on the development of contingency planning policy and procedures. Security and privacy program policies and procedures at the organization level are preferable, in general, and may obviate the need for mission- or system-specific policies and procedures. The policy can be included as part of the general security and privacy policy or be represented by multiple policies that reflect the complex nature of organizations. Procedures can be established for security and privacy programs, for mission or business processes, and for systems, if needed. Procedures describe how the policies or controls are implemented and can be directed at the individual or role that is the object of the procedure. Procedures can be documented in system security and privacy plans or in one or more separate documents. Events that may precipitate an update to contingency planning policy and procedures include assessment or audit findings, security incidents or breaches, or changes in laws, executive orders, directives, regulations, policies, standards, and guidelines. Simply restating controls does not constitute an organizational policy or procedure. OT Discussion The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems.","[{""uuid"":""d431b90f-c908-4b74-bcee-f30d02688181"",""parameterId"":""CP-1(a)"",""text"":""organization-defined personnel or roles"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization-defined personnel or roles] "",""displayName"":"""",""dataType"":"""",""otherId"":""cp-1_prm_1""},{""uuid"":""2e81ee8c-49e0-45d4-8828-3849cdf02797"",""parameterId"":""CP-1(a)(1)"",""text"":""[Selection (one or more): organization-level; mission/business process-level; system-level]"",""constraints"":"""",""guidance"":"""",""default"":""[Selection (one or more): organization-level; mission/business process-level; system-level]"",""displayName"":"""",""dataType"":"""",""otherId"":""cp-01_odp.03""},{""uuid"":""86b070a7-0c1c-4cc1-ac68-e0a8f76fcd39"",""parameterId"":""CP-1(b)"",""text"":""official"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined official] "",""displayName"":"""",""dataType"":"""",""otherId"":""cp-01_odp.04""},{""uuid"":""bf84d315-b5d5-4fe5-ac8c-29ed96b25108"",""parameterId"":""CP-1(c)(1)-1"",""text"":""frequency"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined frequency] "",""displayName"":"""",""dataType"":"""",""otherId"":""cp-01_odp.05""},{""uuid"":""354ddb32-87a4-40b5-b56f-e43d0bde584b"",""parameterId"":""CP-1(c)(1)-2"",""text"":""events"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined events] "",""displayName"":"""",""dataType"":"""",""otherId"":""cp-01_odp.06""},{""uuid"":""36a8c728-4e36-4914-86a4-fbe2af204b85"",""parameterId"":""CP-1(c)(2)-1"",""text"":""frequency"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined frequency] "",""displayName"":"""",""dataType"":"""",""otherId"":""cp-01_odp.07""},{""uuid"":""4cbbb213-e427-4fb2-a8f6-bd033b18f105"",""parameterId"":""CP-1(c)(2)-2"",""text"":""events"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined events] "",""displayName"":"""",""dataType"":"""",""otherId"":""cp-01_odp.08""}]","[{""uuid"":""640a0659-8dce-41fa-8bc1-2b0050ef03c9"",""name"":""a."",""objectiveType"":"""",""otherId"":""cp-1_smt.a"",""description"":""<ul><li>a. Develop, document, and disseminate to {{ insert: param, CP-1(a) }}:</li><ul><li>1. {{ insert: param, CP-1(a)(1) }} contingency planning policy that:</li><ul><li>(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and</li><li>(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and</li></ul><li>2. Procedures to facilitate the implementation of the contingency planning policy and the associated contingency planning controls;</li></ul>""},{""uuid"":""6c55a45e-d58f-44a1-b23c-b1fcc642dbc8"",""name"":""b."",""objectiveType"":"""",""otherId"":""cp-1_smt.b"",""description"":""<ul><li>b. Designate an {{ insert: param, CP-1(b) }} to manage the development, documentation, and dissemination of the contingency planning policy and procedures; and</li></ul>""},{""uuid"":""95a629f9-d3bb-47d1-a86e-05d16b875174"",""name"":""c."",""objectiveType"":"""",""otherId"":""cp-1_smt.c"",""description"":""<ul><li>c. Review and update the current contingency planning:</li><ul><li>1. Policy {{ insert: param, CP-1(c)(1)-1 }} and following {{ insert: param, CP-1(c)(1)-2 }} ; and</li><li>2. Procedures {{ insert: param, CP-1(c)(2)-1 }} and following {{ insert: param, CP-1(c)(2)-2 }}.</li></ul>""}]",
