FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,OneLeet_Controls Requirement Title,Target ID #,OneLeet_Controls Requirement Description,Notes
AC-4(21),AC-04(21) - Physical or Logical Separation of Information Flows,"Separate information flows logically or physically using {{ insert: param, AC-4(21)-1 }} to accomplish {{ insert: param, AC-4(21)-2 }}.GuidanceEnforcing the separation of information flows associated with defined types of data can enhance protection by ensuring that information is not commingled while in transit and by enabling flow control by transmission paths that are not otherwise achievable. Types of separable information include inbound and outbound communications traffic, service reque...",medium,functional,"FedRAMP_R5_Moderate_Unique AC-4(21) requires Separate information flows logically or physically using {{ insert: param, AC-4(21)-1 }} to accomplish {{ insert: param, AC-4(21)-2 }}.GuidanceEnforcing the separation of inform.... OneLeet_Controls OS.PSM.V1 requires Premises shall be continuously monitored for unauthorized physical access.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Physical security monitoring,OS.PSM.V1,Premises shall be continuously monitored for unauthorized physical access.,"Overlap: access control; audit and monitoring. Divergence: FedRAMP_R5_Moderate_Unique emphasizes ac-4, flows, insert; OneLeet_Controls emphasizes continuously, monitored, monitoring."
AC-5,AC-05 - Separation of Duties,"a. Identify and document {{ insert: param, AC-5(a) }} ; andb. Define system access authorizations to support separation of duties.GuidanceSeparation of duties addresses the potential for abuse of authorized privileges and helps to reduce the risk of malevolent activity without collusion. Separation of duties includes dividing mission or business functions and support functions among different individuals or roles, conducting system support functions with different individuals, and ensuring th...",medium,functional,"FedRAMP_R5_Moderate_Unique AC-5 requires a. Identify and document {{ insert: param, AC-5(a) }} ; andb. Define system access authorizations to support separation of duties.GuidanceSeparation of duties addresses the pote.... OneLeet_Controls OS.SOD.V1 requires Development, testing and production environments shall be separated and secured.. Both address audit and monitoring. FedRAMP_R5_Moderate_Unique covers broader scope than OneLeet_Controls.",superset_of,6,Separation of development,OS.SOD.V1,"Development, testing and production environments shall be separated and secured.","Shared scope: audit and monitoring. FedRAMP_R5_Moderate_Unique additionally includes ac-05, access, duties; OneLeet_Controls emphasizes development, environments, organizational."
AC-6,AC-06 - Least Privilege,"Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks.GuidanceOrganizations employ least privilege for specific duties and systems. The principle of least privilege is also applied to system processes, ensuring that the processes have access to systems and operate at privilege levels no higher than necessary to accomplish organizational missions or business fu...",medium,functional,"FedRAMP_R5_Moderate_Unique AC-6 requires Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizat.... OneLeet_Controls IS.AAR.V1 requires Restrict administrator access to critical systems and sensitive data based on the principle of least privilege, granting elevated permissions only when necessary for specific ta.... Both address access control. FedRAMP_R5_Moderate_Unique covers broader scope than OneLeet_Controls.",superset_of,6,Administrator access restricted,IS.AAR.V1,"Restrict administrator access to critical systems and sensitive data based on the principle of least privilege, granting elevated permissions only when necessary for specific tasks and revoking them promptly after completion. Implement strong authentication mechanisms, such as multi-factor authentication, and regularly review and update administrator access rights to ensure they align with job responsibilities and maintain a secure environment.","Shared scope: access control. FedRAMP_R5_Moderate_Unique additionally includes users, ac-06, accesses; OneLeet_Controls emphasizes administrator, after, based."
AC-6(1),AC-06(01) - Authorize Access to Security Functions,"Authorize access for {{ insert: param, AC-6(1) }} to:(a) {{ insert: param, AC-6(1)(a) }} ; and(b) {{ insert: param, AC-6(1)(b) }}.GuidanceSecurity functions include establishing system accounts, configuring access authorizations (i.e., permissions, privileges), configuring settings for events to be audited, and establishing intrusion detection parameters. Security-relevant information includes filtering rules for routers or firewalls, configuration parameters for security services, cryptograp...",medium,functional,"FedRAMP_R5_Moderate_Unique AC-6(1) requires Authorize access for {{ insert: param, AC-6(1) }} to:(a) {{ insert: param, AC-6(1)(a) }} ; and(b) {{ insert: param, AC-6(1)(b) }}.GuidanceSecurity functions include establishing.... OneLeet_Controls AC.AC.V1 requires Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requireme.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Access control,AC.AC.V1,Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.,"Overlap: access control; audit and monitoring. Divergence: FedRAMP_R5_Moderate_Unique emphasizes ac-6, insert, param; OneLeet_Controls emphasizes assets, associated, authorization."
AC-6(2),AC-06(02) - Non-privileged Access for Nonsecurity Functions,"Require that users of system accounts (or roles) with access to {{ insert: param, AC-6(2) }} use non-privileged accounts or roles, when accessing nonsecurity functions.GuidanceRequiring the use of non-privileged accounts when accessing nonsecurity functions limits exposure when operating from within privileged accounts or roles. The inclusion of roles addresses situations where organizations implement access control policies, such as role-based access control, and where a change of role provi...",medium,functional,"FedRAMP_R5_Moderate_Unique AC-6(2) requires Require that users of system accounts (or roles) with access to {{ insert: param, AC-6(2) }} use non-privileged accounts or roles, when accessing nonsecurity functions.GuidanceR.... OneLeet_Controls AC.MRFN.V1 requires Require multi-factor authentication (MFA) for accessing the organization's network. MFA strengthens network security by requiring users to provide additional authentication fact.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,MFA required for network access,AC.MRFN.V1,Require multi-factor authentication (MFA) for accessing the organization's network. MFA strengthens network security by requiring users to provide additional authentication factors during login attempts.,"Overlap: access control; audit and monitoring. Divergence: FedRAMP_R5_Moderate_Unique emphasizes accounts, functions, non-privileged; OneLeet_Controls emphasizes mfa, network, authentication."
AC-6(5),AC-06(05) - Privileged Accounts,"Restrict privileged accounts on the system to {{ insert: param, AC-6(5) }}.GuidancePrivileged accounts, including super user accounts, are typically described as system administrator for various types of commercial off-the-shelf operating systems. Restricting privileged accounts to specific personnel or roles prevents day-to-day users from accessing privileged information or privileged functions. Organizations may differentiate in the application of restricting privileged accounts between all...",medium,functional,"FedRAMP_R5_Moderate_Unique AC-6(5) requires Restrict privileged accounts on the system to {{ insert: param, AC-6(5) }}.GuidancePrivileged accounts, including super user accounts, are typically described as system administ.... OneLeet_Controls AC.DAAU.V1 requires Restrict administrator privileges to dedicated administrator accounts on enterprise assets. Conduct general computing activities, such as internet browsing, email, and productiv.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Dedicated administrator accounts used,AC.DAAU.V1,"Restrict administrator privileges to dedicated administrator accounts on enterprise assets. Conduct general computing activities, such as internet browsing, email, and productivity suite use, from the user’s primary, non-privileged account.","Overlap: access control. Divergence: FedRAMP_R5_Moderate_Unique emphasizes privileged, ac-06, ac-6; OneLeet_Controls emphasizes administrator, dedicated, assets."
AC-6(7),AC-06(07) - Review of User Privileges,"(a) Review {{ insert: param, AC-6(7)(a)-1 }} the privileges assigned to {{ insert: param, AC-6(7)(a)-2 }} to validate the need for such privileges; and(b) Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs.GuidanceThe need for certain assigned user privileges may change over time to reflect changes in organizational mission and business functions, environments of operation, technologies, or threats. A periodic review of assigned user pr...",medium,functional,"FedRAMP_R5_Moderate_Unique AC-6(7) requires (a) Review {{ insert: param, AC-6(7)(a)-1 }} the privileges assigned to {{ insert: param, AC-6(7)(a)-2 }} to validate the need for such privileges; and(b) Reassign or remove pri.... OneLeet_Controls OS.MRI.V1 requires The management review shall include consideration of: a) the status of actions from previous management reviews; b) changes in external and internal issues that are relevant to.... Both address risk management. FedRAMP_R5_Moderate_Unique covers broader scope than OneLeet_Controls.",superset_of,6,Management review inputs,OS.MRI.V1,"The management review shall include consideration of: a) the status of actions from previous management reviews; b) changes in external and internal issues that are relevant to the information security management system; c) changes in needs and expectations of interested parties that are relevant to the information security management system; d) feedback on the information security performance, including trends in: 1) nonconformities and corrective actions; 2) monitoring and measurement resul...","Shared scope: risk management; audit and monitoring. FedRAMP_R5_Moderate_Unique additionally includes privileges, ac-6, insert; OneLeet_Controls emphasizes management, changes, relevant."
AC-6(9),AC-06(09) - Log Use of Privileged Functions,"Log the execution of privileged functions.GuidanceThe misuse of privileged functions, either intentionally or unintentionally by authorized users or by unauthorized external entities that have compromised system accounts, is a serious and ongoing concern and can have significant adverse impacts on organizations. Logging and analyzing the use of privileged functions is one way to detect such misuse and, in doing so, help mitigate the risk from insider threats and the advanced persistent threat.",medium,functional,"FedRAMP_R5_Moderate_Unique AC-6(9) requires Log the execution of privileged functions.GuidanceThe misuse of privileged functions, either intentionally or unintentionally by authorized users or by unauthorized external ent.... OneLeet_Controls AC.ALAR.V1 requires Ensure audit information and audit logging tools are safeguarded against unauthorized access, modification, and deletion. In order to maintain the integrity and reliability of a.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Audit log access restricted,AC.ALAR.V1,"Ensure audit information and audit logging tools are safeguarded against unauthorized access, modification, and deletion. In order to maintain the integrity and reliability of audit information, access to audit logging functionality must be restricted to a limited subset of privileged users or roles that have an explicit business need.","Overlap: access control; audit and monitoring. Divergence: FedRAMP_R5_Moderate_Unique emphasizes functions, privileged, ac-06; OneLeet_Controls emphasizes audit, against, authorization."
AC-6(10),AC-06(10) - Prohibit Non-privileged Users from Executing Privileged Functions,"Prevent non-privileged users from executing privileged functions.GuidancePrivileged functions include disabling, circumventing, or altering implemented security or privacy controls, establishing system accounts, performing system integrity checks, and administering cryptographic key management activities. Non-privileged users are individuals who do not possess appropriate authorizations. Privileged functions that require protection from non-privileged users include circumventing intrusion det...",medium,functional,"FedRAMP_R5_Moderate_Unique AC-6(10) requires Prevent non-privileged users from executing privileged functions.GuidancePrivileged functions include disabling, circumventing, or altering implemented security or privacy contr.... OneLeet_Controls OS.HCFI.V1 requires Establish a process to separate health care clearinghouse functions from other organizational operations to prevent unauthorized access or commingling of sensitive information.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Healthcare clearinghouse functions isolated,OS.HCFI.V1,Establish a process to separate health care clearinghouse functions from other organizational operations to prevent unauthorized access or commingling of sensitive information.,"Overlap: access control; incident response. Divergence: FedRAMP_R5_Moderate_Unique emphasizes executing, non-privileged, privileged; OneLeet_Controls emphasizes clearinghouse, organizational, care."
AC-11,AC-11 - Device Lock,"a. Prevent further access to the system by {{ insert: param, AC-11(a) }} ; andb. Retain the device lock until the user reestablishes access using established identification and authentication procedures.GuidanceDevice locks are temporary actions taken to prevent logical access to organizational systems when users stop work and move away from the immediate vicinity of those systems but do not want to log out because of the temporary nature of their absences. Device locks can be implemented at...",medium,functional,"FedRAMP_R5_Moderate_Unique AC-11 requires a. Prevent further access to the system by {{ insert: param, AC-11(a) }} ; andb. Retain the device lock until the user reestablishes access using established identification and.... OneLeet_Controls EP.SDDP.V1 requires Implement and follow procedures for securely disposing of devices that contain organizational data. This ensures that sensitive information cannot be recovered from retired, dam.... Both address incident response. FedRAMP_R5_Moderate_Unique covers broader scope than OneLeet_Controls.",superset_of,6,Secure device disposal process used,EP.SDDP.V1,"Implement and follow procedures for securely disposing of devices that contain organizational data. This ensures that sensitive information cannot be recovered from retired, damaged, or replaced devices.","Shared scope: incident response; governance and policy. FedRAMP_R5_Moderate_Unique additionally includes ac-11, access, lock; OneLeet_Controls emphasizes contain, data, devices."
AC-11(1),AC-11(01) - Pattern-hiding Displays,"Conceal, via the device lock, information previously visible on the display with a publicly viewable image.GuidanceThe pattern-hiding display can include static or dynamic images, such as patterns used with screen savers, photographic images, solid colors, clock, battery life indicator, or a blank screen with the caveat that controlled unclassified information is not displayed.",medium,functional,"FedRAMP_R5_Moderate_Unique AC-11(1) requires Conceal, via the device lock, information previously visible on the display with a publicly viewable image.GuidanceThe pattern-hiding display can include static or dynamic image.... OneLeet_Controls AC.PMPE.V1 requires Enforce a password management policy that mandates strong and complex passwords, and prohibits the reuse of previously used passwords. This policy helps protect user accounts fr.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Password management policy established,AC.PMPE.V1,"Enforce a password management policy that mandates strong and complex passwords, and prohibits the reuse of previously used passwords. This policy helps protect user accounts from unauthorized access due to weak or compromised passwords.","Overlap: access control; data protection. Divergence: FedRAMP_R5_Moderate_Unique emphasizes ac-11, conceal, device; OneLeet_Controls emphasizes management, password, passwords."
AC-12,AC-12 - Session Termination,"Automatically terminate a user session after {{ insert: param, AC-12 }}.GuidanceSession termination addresses the termination of user-initiated logical sessions (in contrast to SC-10 , which addresses the termination of network connections associated with communications sessions (i.e., network disconnect)). A logical session (for local, network, and remote access) is initiated whenever a user (or process acting on behalf of a user) accesses an organizational system. Such user sessions can be...",high,semantic,"FedRAMP_R5_Moderate_Unique AC-12 requires Automatically terminate a user session after {{ insert: param, AC-12 }}.GuidanceSession termination addresses the termination of user-initiated logical sessions (in contrast to.... OneLeet_Controls AC.AUST.V1 requires User sessions must be automatically terminated all defined events outlined in the Compliance NIST 800-171 Policy. Conditions may include inactivity for a specified period (e.g.,.... Both address access control. The requirements are materially equivalent in scope and intent.",equal,10,Automatic user session termination enforced,AC.AUST.V1,"User sessions must be automatically terminated all defined events outlined in the Compliance NIST 800-171 Policy. Conditions may include inactivity for a specified period (e.g., 15 minutes), time-of-day restrictions on access, and responses to suspicious activity or security incidents. Automatic session termination ensures system security by ending processes associated with the user's logical session.",Shared scope: access control; incident response; audit and monitoring. No material divergence detected.
AC-17(1),AC-17(01) - Monitoring and Control,"Employ automated mechanisms to monitor and control remote access methods.GuidanceMonitoring and control of remote access methods allows organizations to detect attacks and help ensure compliance with remote access policies by auditing the connection activities of remote users on a variety of system components, including servers, notebook computers, workstations, smart phones, and tablets. Audit logging for remote access is enforced by AU-2 . Audit events are defined in AU-2a .",high,semantic,FedRAMP_R5_Moderate_Unique AC-17(1) requires Employ automated mechanisms to monitor and control remote access methods.GuidanceMonitoring and control of remote access methods allows organizations to detect attacks and help.... OneLeet_Controls OS.PSM.V1 requires Premises shall be continuously monitored for unauthorized physical access.. Both address access control. The requirements are materially equivalent in scope and intent.,equal,10,Physical security monitoring,OS.PSM.V1,Premises shall be continuously monitored for unauthorized physical access.,Shared scope: access control; audit and monitoring. No material divergence detected.
AC-17(2),AC-17(02) - Protection of Confidentiality and Integrity Using Encryption,Implement cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.GuidanceVirtual private networks can be used to protect the confidentiality and integrity of remote access sessions. Transport Layer Security (TLS) is an example of a cryptographic protocol that provides end-to-end communications security over networks and is used for Internet communications and online transactions.,medium,functional,"FedRAMP_R5_Moderate_Unique AC-17(2) requires Implement cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.GuidanceVirtual private networks can be used to protect the confidentia.... OneLeet_Controls OS.POR.V1 requires Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Protection of records,OS.POR.V1,"Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.","Overlap: access control; data protection. Divergence: FedRAMP_R5_Moderate_Unique emphasizes confidentiality, integrity, ac-17; OneLeet_Controls emphasizes records, unauthorized, destruction."
AC-17(3),AC-17(03) - Managed Access Control Points,Route remote accesses through authorized and managed network access control points.GuidanceOrganizations consider the Trusted Internet Connections (TIC) initiative DHS TIC requirements for external network connections since limiting the number of access control points for remote access reduces attack surfaces.,medium,functional,FedRAMP_R5_Moderate_Unique AC-17(3) requires Route remote accesses through authorized and managed network access control points.GuidanceOrganizations consider the Trusted Internet Connections (TIC) initiative DHS TIC requi.... OneLeet_Controls EP.WAPI.V1 requires Test for the presence of all Wi-Fi access points at least once every three months and use tools or methods that can detect both authorized and unauthorized access points. If pos.... Both address access control. FedRAMP_R5_Moderate_Unique covers broader scope than OneLeet_Controls.,superset_of,6,Wireless access points identified and monitored,EP.WAPI.V1,"Test for the presence of all Wi-Fi access points at least once every three months and use tools or methods that can detect both authorized and unauthorized access points. If possible, use automated monitoring tools that can alert personnel when new access points are detected.Maintain an up-to-date list of all authorized wireless access points and document a business justification for each authorized access point. Regularly review and update this inventory.","Shared scope: access control. FedRAMP_R5_Moderate_Unique additionally includes managed, ac-17, accesses; OneLeet_Controls emphasizes both, detect, endpoint."
