controlId,title,family,description,subFamily,enhancements
164.308(a)(5)(ii)(A),Security Reminders,ADMINISTRATIVE SAFEGUARDS,Description Distribute periodic security updates Regulation Periodic security updates.,164.308(a)(5)(ii)(A),Implementation: Addressable
164.308(a)(5)(ii)(B),Protection from Malicious Software,ADMINISTRATIVE SAFEGUARDS,"Description Procedures to guard against malicious software Regulation Procedures for guarding against, detecting, and reporting malicious software.",164.308(a)(5)(ii)(B),Implementation: Addressable
164.308(a)(5)(ii)(C),Log-in Monitoring,ADMINISTRATIVE SAFEGUARDS,Description Procedures and monitoring of log-in attempts Regulation Procedures for monitoring log-in attempts and reporting discrepancies.,164.308(a)(5)(ii)(C),Implementation: Addressable
164.308(a)(5)(ii)(D),Password Management,ADMINISTRATIVE SAFEGUARDS,"Description Procedures for password management Regulation Procedures for creating, changing, and safeguarding passwords.",164.308(a)(5)(ii)(D),Implementation: Addressable
164.308(a)(6)(i),Security Incident Procedures,ADMINISTRATIVE SAFEGUARDS,Description P&P to manage security incidents Regulation Implement policies and procedures to address security incidents.,164.308(a)(6)(i),
164.308(a)(6)(ii),Response and Reporting,ADMINISTRATIVE SAFEGUARDS,"Description Mitigate and document security incidents Regulation Identify and respond to suspected or known security incidents; mitigate, to the extent practicable, harmful effects of security incidents that are known to the covered entity; and document security incidents and their outcomes.",164.308(a)(6)(ii),Implementation: Required
164.308(a)(7)(i),Contingency Plan,ADMINISTRATIVE SAFEGUARDS,"Description Emergency response P&P Regulation Establish (and implement as needed) policies and procedures for responding to an emergency or other occurrence (for example, fire, vandalism, system failure, and natural disaster) that damages systems that contain electronic protected health information.",164.308(a)(7)(i),
164.308(a)(7)(ii)(A),Data Backup Plan,ADMINISTRATIVE SAFEGUARDS,Description Data backup planning & procedures Regulation Establish and implement procedures to create and maintain retrievable exact copies of electronic protected health information.,164.308(a)(7)(ii)(A),Implementation: Required
164.308(a)(7)(ii)(B),Disaster Recovery Plan,ADMINISTRATIVE SAFEGUARDS,Description Data recovery planning & procedures Regulation Establish (and implement as needed) procedures to restore loss of data.,164.308(a)(7)(ii)(B),Implementation: Required
164.308(a)(7)(ii)(C),Emergency Mode Operation Plan,ADMINISTRATIVE SAFEGUARDS,Description Business continuity procedures Regulation Establish (and implement as needed) procedures to enable continuation of critical business processes for protection of the security of electronic protected health information while operation in emergency mode.,164.308(a)(7)(ii)(C),Implementation: Required
164.308(a)(7)(ii)(D),Testing and Revision Procedures,ADMINISTRATIVE SAFEGUARDS,Description Contingency planning periodic testing procedures Regulation Implement procedures for periodic testing and revision of contingency plans.,164.308(a)(7)(ii)(D),Implementation: Addressable
164.308(a)(7)(ii)(E),Applications and Data Criticality Analysis,ADMINISTRATIVE SAFEGUARDS,Description Prioritize data and system criticality for contingency planning Regulation Assess the relative criticality of specific applications and data in support of other contingency plan components.,164.308(a)(7)(ii)(E),Implementation: Addressable
164.308(a)(8),Evaluation,ADMINISTRATIVE SAFEGUARDS,"Description Periodic security evaluation Regulation Perform a periodic technical and nontechnical evaluation, based initially upon the standards implemented under this rule and subsequently, in response to environmental or operational changes affecting the security of electronic protected health information, that established the extent to which an entity's security policies and procedures meet the requirements of this subpart.",164.308(a)(8),
164.308(b)(1),Business Associate Contracts and Other Arrangements,ADMINISTRATIVE SAFEGUARDS,"Description CE implement BACs to ensure safeguards Regulation A covered entity, in accordance with § 164.306, may permit a business associate to create, receive, maintain, or transmit electronic protected health information on the covered entity's behalf only if the covered entity obtains satisfactory assurances, in accordance with § 164.314(a) that the business associate will appropriately safeguard the information. (2) This standard does not apply with respect to - (i) The transmission by a covered entity of electronic protected health information to a health care provider concerning the treatment of an individual. (ii) The transmission of electronic protected health information by a group health plan or an HMO or health insurance issuer on behalf of a group health plan to a plan sponsor, to the extent that the requirements of § 164.314(b) and § 164.504(f) apply and are met; or (iii) The transmission of electronic protected health information from or to other agencies providing the services at § 164.502(e)(1)(ii)(C), when the covered entity is a health plan that is a government program providing public benefits, if the requirements of § 164.502(e)(1)(ii)(C) are met. (3) A covered entity that violates the satisfactory assurances it provided as a business associate of another covered entity will be in noncompliance with the standards, implementation specifications, and requirements of this paragraph and § 164.314(a).",164.308(b)(1),
164.308(b)(4),Written Contract,ADMINISTRATIVE SAFEGUARDS,Description Implement compliant BACs Regulation Document the satisfactory assurances required by paragraph (b)(1) of this section through a written contract or other arrangement with the business associate that meets the applicable requirements of § 164.314(a).,164.308(b)(4),Implementation: Required
164.310 (a)(1),Facility Access Controls,PHYSICAL SAFEGUARDS,"Description P&P to limit access to systems and facilities Regulation Implement policies and procedures to limit physical access to its electronic information systems and the facility or facilities in which they are housed, while ensuring that properly authorized access is allowed.",164.310 (a)(1),
164.310(a)(2)(i),Contingency Operations,PHYSICAL SAFEGUARDS,Description Procedures to support emergency operations and recovery Regulation Establish (and implement as needed) procedures that allow facility access in support of restoration of lost data under the disaster recovery plan and emergency mode operations plan in the event of an emergency.,164.310(a)(2)(i),Implementation: Addressable
164.310(a)(2)(ii),Facility Security Plan,PHYSICAL SAFEGUARDS,"Description P&P to safeguard equipment and facilities Regulation Implement policies and procedures to safeguard the facility and the equipment there in from unauthorized physical access, tampering, and theft.",164.310(a)(2)(ii),Implementation: Addressable
164.310(a)(2)(iii),Access Control Validation Procedures,PHYSICAL SAFEGUARDS,"Description Facility access procedures for personnel Regulation Implement procedures to control and validate a person's access to facilities based on their role or function, including visitor control, and control of access to software programs for testing and revision.",164.310(a)(2)(iii),Implementation: Addressable
164.310(a)(2)(iv),Maintenance Records,PHYSICAL SAFEGUARDS,"Description P&P to document security-related repairs and modifications Regulation Implement policies and procedures to document repairs and modifications to the physical components of a facility that are related to security (for example, hardware, walls, doors, and locks).",164.310(a)(2)(iv),Implementation: Addressable
164.310(b),Workstation Use,PHYSICAL SAFEGUARDS,"Description P&P to specify workstation environment & use Regulation Implement policies and procedures that specify the proper functions to be performed, the manner in which those functions are to be performed, and the physical attributes of the surroundings of a specific workstation or class of workstation that can access electronic protected health information.",164.310(b),
164.310(c),Workstation Security,PHYSICAL SAFEGUARDS,"Description Physical safeguards for workstation access Regulation Implement physical safeguards for all workstations that access electronic protected health information, to restrict access to authorized users.",164.310(c),
164.310(d)(1),Device and Media Controls,PHYSICAL SAFEGUARDS,"Description P&P to govern receipt and removal of hardware and media Regulation Implement policies and procedures that govern the receipt and removal of hardware and electronic media that contain electronic protected health information into and out of a facility, and the movement of these items within the facility.",164.310(d)(1),
164.310(d)(2)(i),Disposal,PHYSICAL SAFEGUARDS,"Description P&P to manage media and equipment disposal Regulation Implement policies and procedures to address the final disposition of electronic protected health information, and/or the hardware or electronic media on which it is stored.",164.310(d)(2)(i),Implementation: Required
164.310(d)(2)(ii),Media Re-use,PHYSICAL SAFEGUARDS,Description P&P to remove PHI from media and equipment Regulation Implement procedures for removal of electronic protected health information from electronic media before the media are made available for re-use.,164.310(d)(2)(ii),Implementation: Required
164.310(d)(2)(iii),Accountability,PHYSICAL SAFEGUARDS,Description Document hardware and media movement Regulation Maintain a record of the movements of hardware and electronic media and any person responsible therefore.,164.310(d)(2)(iii),Implementation: Addressable
164.310(d)(2)(iv),Data Backup and Storage,PHYSICAL SAFEGUARDS,"Description Backup PHI before moving equipment Regulation Create a retrievable, exact copy of electronic protected health information, when needed, before movement of equipment.",164.310(d)(2)(iv),Implementation: Addressable
164.312(a)(1),Access Control,TECHNICAL SAFEGUARDS,Description Technical (administrative) P&P to manage PHI access Regulation Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in § 164.308(a)(4).,164.312(a)(1),
164.312(a)(2)(i),Unique User Identification,TECHNICAL SAFEGUARDS,Description Assign unique IDs to support tracking Regulation Assign a unique name and/or number for identifying and tracking user identity.,164.312(a)(2)(i),Implementation: Required
164.312(a)(2)(ii),Emergency Access Procedure,TECHNICAL SAFEGUARDS,Description Procedures to support emergency access Regulation Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.,164.312(a)(2)(ii),Implementation: Required
164.312(a)(2)(iii),Automatic Logoff,TECHNICAL SAFEGUARDS,Description Session termination mechanisms Regulation Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.,164.312(a)(2)(iii),Implementation: Addressable
164.312(a)(2)(iv),Encryption and Decryption,TECHNICAL SAFEGUARDS,Description Mechanism for encryption of stored PHI Regulation Implement a mechanism to encrypt and decrypt electronic protected health information.,164.312(a)(2)(iv),Implementation: Addressable
164.312(b),Audit Controls,TECHNICAL SAFEGUARDS,"Description Procedures and mechanisms for monitoring system activity Regulation Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",164.312(b),
164.312(c)(1),Integrity,TECHNICAL SAFEGUARDS,Description P&P to safeguard PHI unauthorized alteration Regulation Implement policies and procedures to protect electronic protected health information from improper alteration or destruction.,164.312(c)(1),
164.312(c)(2),Mechanism to Authenticate Electronic Protected Health Information,TECHNICAL SAFEGUARDS,Description Mechanisms to corroborate PHI not altered Regulation Implement electronic mechanisms to corroborate that electronic protected health information has not been altered or destroyed in an unauthorized manner.,164.312(c)(2),Implementation: Addressable
164.312(d),Person or Entity Authentication,TECHNICAL SAFEGUARDS,Description Procedures to verify identities Regulation Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,164.312(d),
164.312(e)(1),Transmission Security,TECHNICAL SAFEGUARDS,Description Measures to guard against unauthorized access to transmitted PHI Regulation Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,164.312(e)(1),
164.312(e)(2)(i),Integrity Controls,TECHNICAL SAFEGUARDS,Description Measures to ensure integrity of PHI on transmission Regulation Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.,164.312(e)(2)(i),Implementation: Addressable
164.312(e)(2)(ii),Encryption,TECHNICAL SAFEGUARDS,Description Mechanism for encryption of transmitted PHI Regulation Implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.,164.312(e)(2)(ii),Implementation: Addressable
164.314(a)(1),Business Associate Contracts or Other Arrangements,ORGANIZATIONAL REQUIREMENTS,"Description CE must ensure BA safeguards PHI Regulation (i) The contract or other arrangement between the covered entity and its business associate required by § 164.308(b) must meet the requirements of paragraph (a)(2)(i) or (a)(2)(ii) of this section, as applicable. (ii) A covered entity is not in compliance with the standards in § 164.502(e) and paragraph (a) of this section if the covered entity knew of a pattern of an activity or practice of the business associate that constituted a material breach or violation of the business associate's obligation under the contract or other arrangement, unless the covered entity took reasonable steps to cure the breach or end the violation, as applicable, and, if such steps were unsuccessful. (A) Terminated the contract or arrangement, if feasible; or (B) If termination is not feasible, reported the problem to the Secretary.",164.314(a)(1),
164.314(a)(2),Business Associate Contracts,ORGANIZATIONAL REQUIREMENTS,"Description BACs must contain security language Regulation (i) Business associate contracts. The contract between a covered entity and a business associate must provide that the business associate will-- (A) Implement administrative, physical, and technical safeguards that reasonably and appropriately protect the confidentiality, integrity, and availability of the electronic protected health information that it creates, receives, maintains, or transmits on behalf of the covered entity as required by this subpart; (B) Ensure that any agent, including a subcontractor, to whom it provides such information agrees to implement reasonable and appropriate safeguards to protect it; (C) Report to the covered entity any security incident of which it becomes aware; (D) Authorize termination of the contract by the covered entity, if the covered entity determines that the business associate has violated a material term of the contract. (ii) Other arrangements. (A) When a covered entity and its business associate are both governmental entities, the covered entity is in compliance with paragraph (a)(1) of this section, if - (1) It enters into a memorandum of understanding with the business associate that contains terms that accomplish the objectives of paragraph (a)(2)(i) of this section; or (2) Other law (including regulations adopted by the covered entity or its business associate) contains requirements applicable to the business associate that accomplish the objectives of paragraph (a)(2)(i) of this section. (B) If a business associate is required by law to perform a function or activity on behalf of a covered entity or to provide a service described in the definition of business associate as specified in § 160.103 of this subchapter to a covered entity, the covered entity may permit the business associate to create, receive, maintain, or transmit electronic protected health information on its behalf to the extent necessary to comply with the legal mandate without meeting the requirements of paragraph (a)(2)(i) of this section, provided that the covered entity attempts in good faith to obtain satisfactory assurances as required by paragraph (a)(2)(ii)(A) of this section, and documents the attempt and the reasons that these assurances cannot be obtained. (C) The covered entity may omit from its other arrangements authorization of the termination of the contract by the covered entity, as required by paragraph (a)(2)(i)(D) of this section if such authorization is inconsistent with the statutory obligations of the covered entity or its business associate.",164.314(a)(2),Implementation: Required
164.314(b)(1),Requirements for Group Health Plans,ORGANIZATIONAL REQUIREMENTS,"Description Plan documents must reflect security safeguards Regulation Except when the only electronic protected health information disclosed to a plan sponsor is disclosed pursuant to § 164.504(f)(1)(ii) or (iii), or as authorized under § 164.508, a group health plan must ensure that its plan documents provide that the plan sponsor will reasonably and appropriately safeguard electronic protected health information created, received, maintained, or transmitted to or by the plan sponsor on behalf of the group health plan.",164.314(b)(1),
164.314(b)(2)(i),Implement Safeguards,ORGANIZATIONAL REQUIREMENTS,"Description Plan sponsor to implement safeguards as appropriate Regulation The plan documents of the group health plan must be amended to incorporate provisions to require the plan sponsor to-- (i) Implement administrative, physical, and technical safeguards that reasonably and appropriately protect the confidentiality, integrity, and availability of the electronic protected health information that it creates, receives, maintains, or transmits on behalf of the group health plan;",164.314(b)(2)(i),Implementation: Required
164.314(b)(2)(ii),Ensure Adequate Separation,ORGANIZATIONAL REQUIREMENTS,Description Security measures to separate PHI from plan sponsor and plan Regulation Ensure that the adequate separation required by § 164.504(f)(2)(iii) is supported by reasonable and appropriate security measures;,164.314(b)(2)(ii),Implementation: Required
164.314(b)(2)(iii),Ensure Agents Safeguard,ORGANIZATIONAL REQUIREMENTS,"Description Ensure subcontractors safeguard PHI Regulation Ensure that any agent, including a subcontractor, to whom it provides this information agrees to implement reasonable and appropriate security measures to protect the information; and",164.314(b)(2)(iii),Implementation: Required
164.314(b)(2)(iv),Report Security Incidents,ORGANIZATIONAL REQUIREMENTS,Description Plan sponsors report breaches to health plan Regulation Report to the group health plan any security incident of which it becomes aware.,164.314(b)(2)(iv),Implementation: Required
164.316(a),Policies and Procedures,ORGANIZATIONAL REQUIREMENTS,"Description P&P to ensure safeguards to PHI Regulation A covered entity must, in accordance with § 164.306: Implement reasonable and appropriate policies and procedures to comply with the standards, implementation specifications, or other requirements of this subpart, taking into account those factors specified in § 164.306(b)(2)(i), (ii), (iii), and (iv). This standard is not to be construed to permit or excuse an action that violates any other standard, implementation specification, or other requirements of this subpart. A covered entity may change its policies and procedures at any time, provided that the changes are documented and are implemented in accordance with this subpart.",164.316(a),
164.316(b)(1),Documentation,ORGANIZATIONAL REQUIREMENTS,"Description Document P&P and actions & activities Regulation Documentation. (i) Maintain the policies and procedures implemented to comply with this subpart in written (which may be electronic) form; and (ii) If an action, activity or assessment is required by this subpart to be documented, maintain a written (which may be electronic) record of the action, activity, or assessment.",164.316(b)(1),Implementation: Required
164.316(b)(2)(i),Time Limit,ORGANIZATIONAL REQUIREMENTS,"Description Retain documentation for 6 years Regulation Retain the documentation required by paragraph (b)(1) of this section for 6 years from the date of its creation or the date when it last was in effect, whichever is later.",164.316(b)(2)(i),Implementation: Required
164.316(b)(2)(ii),Availability,ORGANIZATIONAL REQUIREMENTS,Description Documentation available to system administrators Regulation Make documentation available to those persons responsible for implementing the procedures to which the documentation pertains.,164.316(b)(2)(ii),Implementation: Required
164.316(b)(2)(iii),Updates,ORGANIZATIONAL REQUIREMENTS,"Description Periodic review and updates to changing needs Regulation Review documentation periodically, and update as needed, in response to environmental or operational changes affecting the security of the electronic protected health information.",164.316(b)(2)(iii),Implementation: Required
