FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,OneLeet_Controls Requirement Title,Target ID #,OneLeet_Controls Requirement Description,Notes
AU-6(5),AU-06(05) - Integrated Analysis of Audit Records,"Integrate analysis of audit records with analysis of {{ insert: param, AU-6(5) }} to further enhance the ability to identify inappropriate or unusual activity. Guidance Integrated analysis of audit records does not require vulnerability scanning, the generation of performance data, or system monitoring. Rather, integrated analysis requires that the analysis of information generated by scanning, monitoring, or other data collection activities is integrated with the analysis of audit record inf...",medium,functional,"FedRAMP_R5_High_Unique AU-6(5) requires Integrate analysis of audit records with analysis of {{ insert: param, AU-6(5) }} to further enhance the ability to identify inappropriate or unusual activity. Guidance Integrat.... OneLeet_Controls OS.ISAP.V1 requires An internal security audit is performed annually to evaluate the effectiveness of information security controls, verify compliance with security requirements, and identify areas.... Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Internal security audit performed,OS.ISAP.V1,"An internal security audit is performed annually to evaluate the effectiveness of information security controls, verify compliance with security requirements, and identify areas for improvement.","Overlap: risk management; audit and monitoring. Divergence: FedRAMP_R5_High_Unique emphasizes analysis, records, ability; OneLeet_Controls emphasizes internal, performed, annually."
AU-6(6),AU-06(06) - Correlation with Physical Monitoring,"Correlate information from audit records with information obtained from monitoring physical access to further enhance the ability to identify suspicious, inappropriate, unusual, or malevolent activity. Guidance The correlation of physical audit record information and the audit records from systems may assist organizations in identifying suspicious behavior or supporting evidence of such behavior. For example, the correlation of an individual’s identity for logical access to certain systems wi...",high,semantic,"FedRAMP_R5_High_Unique AU-6(6) requires Correlate information from audit records with information obtained from monitoring physical access to further enhance the ability to identify suspicious, inappropriate, unusual,.... OneLeet_Controls OS.PSM.V1 requires Premises shall be continuously monitored for unauthorized physical access.. Both address access control. FedRAMP_R5_High_Unique covers broader scope than OneLeet_Controls.",superset_of,7,Physical security monitoring,OS.PSM.V1,Premises shall be continuously monitored for unauthorized physical access.,"Shared scope: access control; audit and monitoring. FedRAMP_R5_High_Unique additionally includes audit, ability, accountability; OneLeet_Controls emphasizes continuously, monitored, organizational."
AU-6(7),AU-06(07) - Permitted Actions,"Specify the permitted actions for each {{ insert: param, AU-6(7) }} associated with the review, analysis, and reporting of audit record information. Guidance Organizations specify permitted actions for system processes, roles, and users associated with the review, analysis, and reporting of audit records through system account management activities. Specifying permitted actions on audit record information is a way to enforce the principle of least privilege. Permitted actions are enforced by...",medium,functional,"FedRAMP_R5_High_Unique AU-6(7) requires Specify the permitted actions for each {{ insert: param, AU-6(7) }} associated with the review, analysis, and reporting of audit record information. Guidance Organizations speci.... OneLeet_Controls OS.IAP.V1 requires The organization shall plan, establish, implement and maintain an audit programme(s), including the frequency, methods, responsibilities, planning requirements and reporting. Wh.... Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Internal Audit Program,OS.IAP.V1,"The organization shall plan, establish, implement and maintain an audit programme(s), including the frequency, methods, responsibilities, planning requirements and reporting. When establishing the internal audit programme(s), the organization shall consider the importance of the processes concerned and the results of previous audits. The organization shall: a) define the audit criteria and scope for each audit; b) select auditors and conduct audits that ensure objectivity and the impartiality...","Overlap: incident response; audit and monitoring. Divergence: FedRAMP_R5_High_Unique emphasizes actions, permitted, accountability; OneLeet_Controls emphasizes establish, frequency, implement."
AU-9(2),AU-09(02) - Store on Separate Physical Systems or Components,"Store audit records {{ insert: param, AU-9(2) }} in a repository that is part of a physically different system or system component than the system or component being audited. Guidance Storing audit records in a repository separate from the audited system or system component helps to ensure that a compromise of the system being audited does not also result in a compromise of the audit records. Storing audit records on separate physical systems or components also preserves the confidentiality a...",medium,functional,"FedRAMP_R5_High_Unique AU-9(2) requires Store audit records {{ insert: param, AU-9(2) }} in a repository that is part of a physically different system or system component than the system or component being audited. Gu.... OneLeet_Controls OS.PSM.V1 requires Premises shall be continuously monitored for unauthorized physical access.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Physical security monitoring,OS.PSM.V1,Premises shall be continuously monitored for unauthorized physical access.,"Overlap: access control; audit and monitoring. Divergence: FedRAMP_R5_High_Unique emphasizes system, audit, component; OneLeet_Controls emphasizes access, continuously, monitored."
AU-9(3),AU-09(03) - Cryptographic Protection,Implement cryptographic mechanisms to protect the integrity of audit information and audit tools. Guidance Cryptographic mechanisms used for protecting the integrity of audit information include signed hash functions using asymmetric cryptography. This enables the distribution of the public key to verify the hash information while maintaining the confidentiality of the secret key used to generate the hash. AU-9 (3) Additional FedRAMP Requirements and Guidance Guidance: Note that this enhancem...,medium,functional,"FedRAMP_R5_High_Unique AU-9(3) requires Implement cryptographic mechanisms to protect the integrity of audit information and audit tools. Guidance Cryptographic mechanisms used for protecting the integrity of audit in.... OneLeet_Controls OS.POR.V1 requires Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Protection of records,OS.POR.V1,"Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.","Overlap: access control; data protection. Divergence: FedRAMP_R5_High_Unique emphasizes audit, cryptographic, accountability; OneLeet_Controls emphasizes records, unauthorized, access."
AU-10,AU-10 - Non-repudiation,"Provide irrefutable evidence that an individual (or process acting on behalf of an individual) has performed {{ insert: param, AU-10 }}. Guidance Types of individual actions covered by non-repudiation include creating information, sending and receiving messages, and approving information. Non-repudiation protects against claims by authors of not having authored certain documents, senders of not having transmitted messages, receivers of not having received messages, and signatories of not havi...",medium,functional,"FedRAMP_R5_High_Unique AU-10 requires Provide irrefutable evidence that an individual (or process acting on behalf of an individual) has performed {{ insert: param, AU-10 }}. Guidance Types of individual actions cov.... OneLeet_Controls MI.ALMP.V1 requires Maintain a robust and up-to-date audit log management process. This process should include guidelines for capturing, storing, and monitoring audit logs, ensuring the availabilit.... Both address audit and monitoring. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Audit log management process maintained,MI.ALMP.V1,"Maintain a robust and up-to-date audit log management process. This process should include guidelines for capturing, storing, and monitoring audit logs, ensuring the availability and integrity of essential security event data.","Overlap: audit and monitoring; data protection. Divergence: FedRAMP_R5_High_Unique emphasizes au-10, individual, accountability; OneLeet_Controls emphasizes log, management, incident."
AU-12(1),AU-12(01) - System-wide and Time-correlated Audit Trail,"Compile audit records from {{ insert: param, AU-12(1)-1 }} into a system-wide (logical or physical) audit trail that is time-correlated to within {{ insert: param, AU-12(1)-2 }}. Guidance Audit trails are time-correlated if the time stamps in the individual audit records can be reliably related to the time stamps in other audit records to achieve a time ordering of the records within organizational tolerances.",medium,functional,"FedRAMP_R5_High_Unique AU-12(1) requires Compile audit records from {{ insert: param, AU-12(1)-1 }} into a system-wide (logical or physical) audit trail that is time-correlated to within {{ insert: param, AU-12(1)-2 }}.... OneLeet_Controls AC.ALAR.V1 requires Ensure audit information and audit logging tools are safeguarded against unauthorized access, modification, and deletion. In order to maintain the integrity and reliability of a.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Audit log access restricted,AC.ALAR.V1,"Ensure audit information and audit logging tools are safeguarded against unauthorized access, modification, and deletion. In order to maintain the integrity and reliability of audit information, access to audit logging functionality must be restricted to a limited subset of privileged users or roles that have an explicit business need.","Overlap: access control; audit and monitoring. Divergence: FedRAMP_R5_High_Unique emphasizes au-12, insert, param; OneLeet_Controls emphasizes access, against, authorization."
AU-12(3),AU-12(03) - Changes by Authorized Individuals,"Provide and implement the capability for {{ insert: param, AU-12(3)-1 }} to change the logging to be performed on {{ insert: param, AU-12(3)-2 }} based on {{ insert: param, AU-12(3)-3 }} within {{ insert: param, AU-12(3)-4 }}. Guidance Permitting authorized individuals to make changes to system logging enables organizations to extend or limit logging as necessary to meet organizational requirements. Logging that is limited to conserve system resources may be extended (either temporarily or pe...",medium,functional,"FedRAMP_R5_High_Unique AU-12(3) requires Provide and implement the capability for {{ insert: param, AU-12(3)-1 }} to change the logging to be performed on {{ insert: param, AU-12(3)-2 }} based on {{ insert: param, AU-1.... OneLeet_Controls MI.UCTP.V1 requires Implement a change and tamper detection mechanism for your payment pages. This system should monitor two key elements: the HTTP headers (which contain metadata about the web pag.... Both address access control. FedRAMP_R5_High_Unique is narrower and fits within OneLeet_Controls scope.",subset_of,6,Unauthorized changes to payment pages managed,MI.UCTP.V1,"Implement a change and tamper detection mechanism for your payment pages. This system should monitor two key elements: the HTTP headers (which contain metadata about the web page) and the actual content of the page, with particular attention to any scripts running on it. Configure your detection mechanism to identify any unauthorized modifications, additions, or deletions to these components of your payment pages.Determine the frequency of your page checks. You have two options:- Perform chec...","Shared scope: access control; incident response; risk management; audit and monitoring. FedRAMP_R5_High_Unique emphasizes au-12, insert, param; OneLeet_Controls additionally includes pages, payment, detection."
CA-2(2),CA-02(02) - Specialized Assessments,"Include as part of control assessments, {{ insert: param, CA-2(2)-1 }}, {{ insert: param, CA-2(2)-2 }}, {{ insert: param, CA-2(2)-3 }}. Guidance Organizations can conduct specialized assessments, including verification and validation, system monitoring, insider threat assessments, malicious user testing, and other forms of testing. These assessments can improve readiness by exercising organizational capabilities and indicating current levels of performance as a means of focusing actions to im...",medium,functional,"FedRAMP_R5_High_Unique CA-2(2) requires Include as part of control assessments, {{ insert: param, CA-2(2)-1 }}, {{ insert: param, CA-2(2)-2 }}, {{ insert: param, CA-2(2)-3 }}. Guidance Organizations can conduct specia.... OneLeet_Controls OS.RSA.V1 requires Ensure all employees conduct regular self-assessments to review their performance, responsibilities, and effectiveness in achieving organizational objectives.. Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Regular self assessments performed,OS.RSA.V1,"Ensure all employees conduct regular self-assessments to review their performance, responsibilities, and effectiveness in achieving organizational objectives.","Overlap: risk management; audit and monitoring. Divergence: FedRAMP_R5_High_Unique emphasizes ca-2, insert, param; OneLeet_Controls emphasizes organizational, regular, achieving."
CA-3(6),CA-03(06) - Transfer Authorizations,"Verify that individuals or systems transferring data between interconnecting systems have the requisite authorizations (i.e., write permissions or privileges) prior to accepting such data. Guidance To prevent unauthorized individuals and systems from making information transfers to protected systems, the protected system verifies—via independent means— whether the individual or system attempting to transfer information is authorized to do so. Verification of the authorization to transfer info...",medium,functional,"FedRAMP_R5_High_Unique CA-3(6) requires Verify that individuals or systems transferring data between interconnecting systems have the requisite authorizations (i.e., write permissions or privileges) prior to accepting.... OneLeet_Controls DM.IT.V1 requires Information transfer rules, procedures, or agreements shall be in place for all types of transfer facilities within the organization and between the organization and other parties.. Both address data protection. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Information transfer,DM.IT.V1,"Information transfer rules, procedures, or agreements shall be in place for all types of transfer facilities within the organization and between the organization and other parties.","Overlap: data protection. Divergence: FedRAMP_R5_High_Unique emphasizes authorizations, assessment, authorization; OneLeet_Controls emphasizes organization, agreements, facilities."
CM-3(1),"CM-03(01) - Automated Documentation, Notification, and Prohibition of Changes","Use {{ insert: param, CM-3(1) }} to: (a) Document proposed changes to the system; (b) Notify {{ insert: param, CM-3(1)(b) }} of proposed changes to the system and request change approval; (c) Highlight proposed changes to the system that have not been approved or disapproved within {{ insert: param, CM-3(1)(c) }}; (d) Prohibit changes to the system until designated approvals are received; (e) Document all changes to the system; and (f) Notify {{ insert: param, CM-3(1)(f) }} when approved chan...",medium,functional,"FedRAMP_R5_High_Unique CM-3(1) requires Use {{ insert: param, CM-3(1) }} to: (a) Document proposed changes to the system; (b) Notify {{ insert: param, CM-3(1)(b) }} of proposed changes to the system and request change.... OneLeet_Controls DM.ARHW.V1 requires Establish an automated workflow for handling consumer privacy requests in compliance with the CCPA. The system captures, validates, and routes requests—such as access, deletion,.... Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Automated Request Handling Workflow,DM.ARHW.V1,"Establish an automated workflow for handling consumer privacy requests in compliance with the CCPA. The system captures, validates, and routes requests—such as access, deletion, or opt-out of sale—ensuring timely and accurate processing. Audit trails and reporting capabilities are maintained to demonstrate compliance and support ongoing monitoring and remediation.","Overlap: incident response. Divergence: FedRAMP_R5_High_Unique emphasizes changes, system, cm-3; OneLeet_Controls emphasizes handling, workflow, ccpa."
CM-3(6),CM-03(06) - Cryptography Management,"Ensure that cryptographic mechanisms used to provide the following controls are under configuration management: {{ insert: param, CM-3(6) }}. Guidance The controls referenced in the control enhancement refer to security and privacy controls from the control catalog. Regardless of the cryptographic mechanisms employed, processes and procedures are in place to manage those mechanisms. For example, if system components use certificates for identification and authentication, a process is implemen...",medium,functional,"FedRAMP_R5_High_Unique CM-3(6) requires Ensure that cryptographic mechanisms used to provide the following controls are under configuration management: {{ insert: param, CM-3(6) }}. Guidance The controls referenced in.... OneLeet_Controls IS.UOC.V1 requires Rules for the effective use of cryptography, including cryptographic key management, shall be defined and implemented.. Both address data protection. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Use of cryptography,IS.UOC.V1,"Rules for the effective use of cryptography, including cryptographic key management, shall be defined and implemented.","Overlap: data protection. Divergence: FedRAMP_R5_High_Unique emphasizes configuration, cm-03, cm-3; OneLeet_Controls emphasizes defined, effective, implemented."
CM-4(1),CM-04(01) - Separate Test Environments,"Analyze changes to the system in a separate test environment before implementation in an operational environment, looking for security and privacy impacts due to flaws, weaknesses, incompatibility, or intentional malice. Guidance A separate test environment requires an environment that is physically or logically separate and distinct from the operational environment. The separation is sufficient to ensure that activities in the test environment do not impact activities in the operational envi...",high,functional,"FedRAMP_R5_High_Unique CM-4(1) requires Analyze changes to the system in a separate test environment before implementation in an operational environment, looking for security and privacy impacts due to flaws, weakness.... OneLeet_Controls IS.PATE.V1 requires Maintain separate, dedicated environments for testing and production systems, ensuring changes are thoroughly evaluated before implementation into the live production environment.. Both address audit and monitoring. The requirements are materially equivalent in scope and intent.",equal,10,Production and test environments separated,IS.PATE.V1,"Maintain separate, dedicated environments for testing and production systems, ensuring changes are thoroughly evaluated before implementation into the live production environment.",Shared scope: audit and monitoring. No material divergence detected.
CM-6(2),CM-06(02) - Respond to Unauthorized Changes,"Take the following actions in response to unauthorized changes to {{ insert: param, CM-6(2)-1 }}: {{ insert: param, CM-6(2)-2 }}. Guidance Responses to unauthorized changes to configuration settings include alerting designated organizational personnel, restoring established configuration settings, or—in extreme cases—halting affected system processing.",high,functional,"FedRAMP_R5_High_Unique CM-6(2) requires Take the following actions in response to unauthorized changes to {{ insert: param, CM-6(2)-1 }}: {{ insert: param, CM-6(2)-2 }}. Guidance Responses to unauthorized changes to c.... OneLeet_Controls MI.UCTP.V1 requires Implement a change and tamper detection mechanism for your payment pages. This system should monitor two key elements: the HTTP headers (which contain metadata about the web pag.... Both address access control. The requirements are materially equivalent in scope and intent.",equal,10,Unauthorized changes to payment pages managed,MI.UCTP.V1,"Implement a change and tamper detection mechanism for your payment pages. This system should monitor two key elements: the HTTP headers (which contain metadata about the web page) and the actual content of the page, with particular attention to any scripts running on it. Configure your detection mechanism to identify any unauthorized modifications, additions, or deletions to these components of your payment pages.Determine the frequency of your page checks. You have two options:- Perform chec...",Shared scope: access control; incident response. No material divergence detected.
CM-8(2),CM-08(02) - Automated Maintenance,"Maintain the currency, completeness, accuracy, and availability of the inventory of system components using {{ insert: param, CM-8(2) }}. Guidance Organizations maintain system inventories to the extent feasible. For example, virtual machines can be difficult to monitor because such machines are not visible to the network when not in use. In such cases, organizations maintain as up-to-date, complete, and accurate an inventory as is deemed reasonable. Automated maintenance can be achieved by t...",medium,functional,"FedRAMP_R5_High_Unique CM-8(2) requires Maintain the currency, completeness, accuracy, and availability of the inventory of system components using {{ insert: param, CM-8(2) }}. Guidance Organizations maintain system.... OneLeet_Controls DM.ARHW.V1 requires Establish an automated workflow for handling consumer privacy requests in compliance with the CCPA. The system captures, validates, and routes requests—such as access, deletion,.... Both address audit and monitoring. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Automated Request Handling Workflow,DM.ARHW.V1,"Establish an automated workflow for handling consumer privacy requests in compliance with the CCPA. The system captures, validates, and routes requests—such as access, deletion, or opt-out of sale—ensuring timely and accurate processing. Audit trails and reporting capabilities are maintained to demonstrate compliance and support ongoing monitoring and remediation.","Overlap: audit and monitoring; data protection. Divergence: FedRAMP_R5_High_Unique emphasizes accuracy, availability, cm-08; OneLeet_Controls emphasizes handling, workflow, ccpa."
