FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,GRC Toolkit Controls Requirement Title,Target ID #,GRC Toolkit Controls Requirement Description,Notes
ASSET-2c,Inventoried information assets are categorized based on defined criteria that includes importance to the delivery of the function,"Categorization of assets is important for many cybersecurity and operational activities, such as incident response, risk management, threat management, and cybersecurity architecture planning. Information should be categorized according to its sensitivity, value, criticality, interdependencies with other assets, legal requirements, whether the data is collected by, held by, or shared with a third party, or other scheme, including any scheme that is required by regulation or other compliance f...",medium,functional,"C2M2 ASSET-2c requires Categorization of assets is important for many cybersecurity and operational activities, such as incident response, risk management, threat management, and cybersecurity archite.... GRC Toolkit Controls THR-04 requires Mechanisms exist to implement an insider threat program that includes a cross-discipline insider threat incident handling team.. Both address incident response. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,Insider Threat Program,THR-04,Mechanisms exist to implement an insider threat program that includes a cross-discipline insider threat incident handling team.,"Shared scope: incident response; risk management. C2M2 additionally includes assets, activities, architecture; GRC Toolkit Controls emphasizes insider, cross-discipline, exist."
ASSET-2d,Categorization criteria include consideration of the degree to which an asset within the function may be leveraged to achieve a threat objective,"The possibility of an asset within the function being leveraged to achieve a threat objective is added to the criteria used for categorizing information assets. Consideration for the way an asset may be utilized by a threat actor will enable a more comprehensive prioritization of the risks to, and impacts associated with, IT and OT assets. It is important to consider that a threat actor may have multiple objectives and that those objectives may change over time or in different situations. Rel...",medium,functional,"C2M2 ASSET-2d requires The possibility of an asset within the function being leveraged to achieve a threat objective is added to the criteria used for categorizing information assets. Consideration fo.... GRC Toolkit Controls AST-31.2 requires Mechanisms exist to categorize a system and/or service as ""High Risk"" if it poses a significant risk of harm to an individual's: (1) Health; (2) Safety; and/or (3) Fundamental h.... Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,High-Risk Asset Categorization,AST-31.2,"Mechanisms exist to categorize a system and/or service as ""High Risk"" if it poses a significant risk of harm to an individual's: (1) Health; (2) Safety; and/or (3) Fundamental human rights.","Overlap: risk management. Divergence: C2M2 emphasizes achieve, criteria, function; GRC Toolkit Controls emphasizes risk, categorize, exist."
ASSET-2e,"The information asset inventory includes attributes that support cybersecurity activities (for example, asset category, backup locations and frequencies, storage locations, asset owner, cybersecurity requirements)","Information asset inventory attributes are details about assets that are included in asset inventories to enable management and consistent use of the assets. Including necessary information about assets to support the cybersecurity program strategy helps ensure that that information is available during periods of operational stress and does not have to be collected while in a state of crisis. For example, response to and recovery from a cybersecurity incident may be expedited if the informati...",medium,functional,"C2M2 ASSET-2e requires Information asset inventory attributes are details about assets that are included in asset inventories to enable management and consistent use of the assets. Including necessary.... GRC Toolkit Controls MON-02.9 requires Mechanisms exist to maintain a current and accurate inventory of technology-related Technology Assets, Applications and/or Services (TAAS) being logged.. Both address incident response. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,Inventory of Technology Asset Event Logging,MON-02.9,"Mechanisms exist to maintain a current and accurate inventory of technology-related Technology Assets, Applications and/or Services (TAAS) being logged.","Shared scope: incident response. C2M2 additionally includes attributes, locations, about; GRC Toolkit Controls emphasizes technology, accurate, applications."
ASSET-2f,The information asset inventory is complete (the inventory includes all assets within the function),"This practice expands the inventory scope of ASSET-2a. The level of detail at which information assets are documented in the inventory should be determined with consideration for the importance and sensitivity of the asset to the organization. In many cases, it may be beneficial to consolidate types of information assets into a single entry in the information asset inventory. For example, employee-created assets residing on individual workstations (such as files or databases) may not warrant...",medium,functional,"C2M2 ASSET-2f requires This practice expands the inventory scope of ASSET-2a. The level of detail at which information assets are documented in the inventory should be determined with consideration fo.... GRC Toolkit Controls AST-15 requires Mechanisms exist to assess the integrity of critical Technology Assets, Applications and/or Services (TAAS) to detect evidence of tampering, where: (1) Logical assessments evalu.... Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Logical Tampering Protection,AST-15,"Mechanisms exist to assess the integrity of critical Technology Assets, Applications and/or Services (TAAS) to detect evidence of tampering, where: (1) Logical assessments evaluate the integrity of critical components (e.g., configuration settings); and (2) Physical assessments evaluate assets for evidence of unauthorized access and/or modifications.","Overlap: risk management; data protection. Divergence: C2M2 emphasizes inventory, asset-2a, complete; GRC Toolkit Controls emphasizes critical, integrity, logical."
ASSET-2g,"The information asset inventory is current, that is, it is updated periodically and according to defined triggers, such as system changes","The inventory of information assets should be updated and maintained as assets change throughout their lifecycle to ensure the inventory is complete and accurate. Ensuring that the information asset inventory is current might involve change management procedures that require inventory updates any time assets are significantly altered. The organization might also conduct inventory reviews, both periodically (such as quarterly or yearly) and based on events (such as changes in organizational st...",medium,functional,"C2M2 ASSET-2g requires The inventory of information assets should be updated and maintained as assets change throughout their lifecycle to ensure the inventory is complete and accurate. Ensuring that.... GRC Toolkit Controls MON-02.9 requires Mechanisms exist to maintain a current and accurate inventory of technology-related Technology Assets, Applications and/or Services (TAAS) being logged.. Both address incident response. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,Inventory of Technology Asset Event Logging,MON-02.9,"Mechanisms exist to maintain a current and accurate inventory of technology-related Technology Assets, Applications and/or Services (TAAS) being logged.","Shared scope: incident response; audit and monitoring. C2M2 additionally includes updated, according, change; GRC Toolkit Controls emphasizes technology, applications, being."
ASSET-2h,Information assets are sanitized or destroyed at end of life using techniques appropriate to their cybersecurity requirements,"In this practice, sanitization refers to the removal of sensitive data from an asset in preparation for its reuse. For example, sanitization might involve removing customer-specific information from a slide presentation so that it can be used again. This should be completed in a manner that prevents the disclosure of information to unauthorized individuals when assets are reused. By contrast, destruction refers to data removal so that it cannot be recovered. This involves permanent removal (t...",medium,functional,"C2M2 ASSET-2h requires In this practice, sanitization refers to the removal of sensitive data from an asset in preparation for its reuse. For example, sanitization might involve removing customer-spec.... GRC Toolkit Controls AST-11 requires Mechanisms exist to authorize, control and track technology assets entering and exiting organizational facilities.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Removal of Assets,AST-11,"Mechanisms exist to authorize, control and track technology assets entering and exiting organizational facilities.","Overlap: access control; audit and monitoring. Divergence: C2M2 emphasizes appropriate, data, destroyed; GRC Toolkit Controls emphasizes authorize, entering, exist."
ASSET-3a,"Configuration baselines are established, at least in an ad hoc manner","Establishing a baseline for OT, IT, and information assets provides a foundation for managing the integrity of assets as they change over their lifecycle. Establishing point-in-time captures of assets (configuration items) ensures that these assets can be restored to an acceptable form when necessary—after a disruption, when an unauthorized modification has occurred, or under any circumstances where integrity is suspect and provides a level of control over changes that can potentially disrupt...",medium,functional,"C2M2 ASSET-3a requires Establishing a baseline for OT, IT, and information assets provides a foundation for managing the integrity of assets as they change over their lifecycle. Establishing point-in-.... GRC Toolkit Controls DCH-05.10 requires Mechanisms exist to provide authorized individuals the capability to define or change the type and value of cybersecurity and data protection attributes available for associatio.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Attribute Configuration By Authorized Individuals,DCH-05.10,Mechanisms exist to provide authorized individuals the capability to define or change the type and value of cybersecurity and data protection attributes available for association with subjects and objects.,"Overlap: access control; data protection. Divergence: C2M2 emphasizes assets, asset, baseline; GRC Toolkit Controls emphasizes authorized, data, individuals."
ASSET-3b,Configuration baselines are used to configure assets at deployment and restoration,The organization has procedures in place to ensure that established configuration baselines are applied to assets when they are deployed and restored. These baselines (also referred to as standard builds) support the deployment of assets in a controlled manner. Related Practices · Progression: This practice is part of a practice progression. Practice progressions are groups of related practices that represent increasingly complete or more advanced implementations of an activity. The practices...,medium,functional,"C2M2 ASSET-3b requires The organization has procedures in place to ensure that established configuration baselines are applied to assets when they are deployed and restored. These baselines (also refe.... GRC Toolkit Controls GOV-15.4 requires Mechanisms exist to compel data and/or process owners to obtain authorization for the production use of each Technology Asset, Application and/or Service (TAAS) under their cont.... Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,"Authorize Technology Assets, Applications and/or Services (TAAS)",GOV-15.4,"Mechanisms exist to compel data and/or process owners to obtain authorization for the production use of each Technology Asset, Application and/or Service (TAAS) under their control.","Overlap: governance and policy. Divergence: C2M2 emphasizes baselines, configuration, applied; GRC Toolkit Controls emphasizes data, taas, technology."
ASSET-3c,Configuration baselines incorporate applicable requirements from the cybersecurity architecture (ARCHITECTURE-1f),"As part of the cybersecurity architecture, the organization selects and documents requirements for the appropriate level of confidentiality, integrity, and availability of IT, OT, and information assets. These requirements may then be used to drive the development of cybersecurity controls to be applied to assets and systems (such as configuration baselines, network protections, software security). Configuration baseline hardening guidelines, such as the Center for Internet Security Benchmark...",medium,functional,"C2M2 ASSET-3c requires As part of the cybersecurity architecture, the organization selects and documents requirements for the appropriate level of confidentiality, integrity, and availability of IT, O.... GRC Toolkit Controls TDA-05 requires Mechanisms exist to require the developers of Technology Assets, Applications and/or Services (TAAS) to produce a design specification and security architecture that: (1) Is con.... Both address data protection. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,Developer Architecture & Design,TDA-05,"Mechanisms exist to require the developers of Technology Assets, Applications and/or Services (TAAS) to produce a design specification and security architecture that: (1) Is consistent with and supportive of the organization's security architecture which is established within and is an integrated part of the organization's enterprise architecture; (2) Accurately and completely describes the required security functionality and the allocation of security controls among physical and logical comp...","Shared scope: data protection. C2M2 additionally includes requirements, applicable, appropriate; GRC Toolkit Controls emphasizes design, technology, accurately."
ASSET-3d,"Configuration baselines are reviewed and updated periodically and according to defined triggers, such as system changes and changes to the cybersecurity architecture","The organization has a defined schedule for reviewing baselines regularly and updating them as needed to ensure they continue to reflect appropriate security and functional requirements. Related Practices · Progression: This practice is part of a practice progression. Practice progressions are groups of related practices that represent increasingly complete or more advanced implementations of an activity. The practices in this progression include: ASSET-3a, ASSET-3c, ASSET-3d.",medium,functional,"C2M2 ASSET-3d requires The organization has a defined schedule for reviewing baselines regularly and updating them as needed to ensure they continue to reflect appropriate security and functional requ.... GRC Toolkit Controls CLD-02 requires Mechanisms exist to ensure the cloud security architecture supports the organization's technology strategy to securely design, configure and maintain cloud employments.. Both address audit and monitoring. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Cloud Security Architecture,CLD-02,"Mechanisms exist to ensure the cloud security architecture supports the organization's technology strategy to securely design, configure and maintain cloud employments.","Overlap: audit and monitoring. Divergence: C2M2 emphasizes baselines, changes, defined; GRC Toolkit Controls emphasizes cloud, configure, design."
ASSET-3e,Asset configurations are monitored for consistency with baselines throughout the assets’ lifecycles,"Organizations should monitor asset configurations to ensure that they continue to conform to baselines over time after their deployment. Monitoring for consistency can be done through automated means, such as using a scanning tool that compares the baselines of connected assets to established configuration baselines, or by conducting periodic audits of assets to determine whether unauthorized changes have been made. Tools can also be used to automatically revert assets to baselines. Automated...",medium,functional,"C2M2 ASSET-3e requires Organizations should monitor asset configurations to ensure that they continue to conform to baselines over time after their deployment. Monitoring for consistency can be done t.... GRC Toolkit Controls AST-11 requires Mechanisms exist to authorize, control and track technology assets entering and exiting organizational facilities.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Removal of Assets,AST-11,"Mechanisms exist to authorize, control and track technology assets entering and exiting organizational facilities.","Overlap: access control; audit and monitoring. Divergence: C2M2 emphasizes baselines, configurations, after; GRC Toolkit Controls emphasizes authorize, entering, exist."
ASSET-4a,"Changes to assets are evaluated and approved before being implemented, at least in an ad hoc manner","All proposed changes to inventoried assets are evaluated to understand their priority, benefits, risks, and impacts to functionality and security on the functions they support. Consider that these may differ across different kinds of IT, OT and information assets, such as virtualized assets, regulated assets, assets managed by a third party, bring your own device (BYOD) assets, cloud assets, mobile assets, field assets, assets reliant on specific infrastructure such as wireless networks or th...",medium,functional,"C2M2 ASSET-4a requires All proposed changes to inventoried assets are evaluated to understand their priority, benefits, risks, and impacts to functionality and security on the functions they support..... GRC Toolkit Controls TPM-04.1 requires Mechanisms exist to conduct a risk assessment prior to the acquisition or outsourcing of technology-related Technology Assets, Applications and/or Services (TAAS).. Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Third-Party Risk Assessments & Approvals,TPM-04.1,"Mechanisms exist to conduct a risk assessment prior to the acquisition or outsourcing of technology-related Technology Assets, Applications and/or Services (TAAS).","Overlap: risk management; third-party management. Divergence: C2M2 emphasizes changes, evaluated, approved; GRC Toolkit Controls emphasizes risk, third-party, acquisition."
ASSET-4b,"Changes to assets are documented, at least in an ad hoc manner","Any changes made to an inventoried asset are captured in a format that can be easily referenced during troubleshooting or incident response activities. Changes may include the alteration of settings such as routing and port configurations in network devices, the addition or removal of components, and modification of access privileges. Some of the attributes that should be captured include date and time of the change, who made the change, the assets affected by the change, and a description of...",medium,functional,C2M2 ASSET-4b requires Any changes made to an inventoried asset are captured in a format that can be easily referenced during troubleshooting or incident response activities. Changes may include the a.... GRC Toolkit Controls CFG-02.8 requires Mechanisms exist to respond to unauthorized changes to configuration settings as security incidents.. Both address access control. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,Respond To Unauthorized Changes,CFG-02.8,Mechanisms exist to respond to unauthorized changes to configuration settings as security incidents.,"Overlap: access control; incident response. Divergence: C2M2 emphasizes asset, activities, assets; GRC Toolkit Controls emphasizes configuration, respond, unauthorized."
ASSET-4c,Documentation requirements for asset changes are established and maintained,"The organization should define the required information that should be documented when performing changes to IT and OT assets. The requirements should consider what information may be necessary for activities such as troubleshooting or incident response. Additionally, the organization should consider the maintenance of these requirements based on changes to the operating environment. Related Practices · Progression: This practice is part of a practice progression. Practice progressions are gr...",medium,functional,"C2M2 ASSET-4c requires The organization should define the required information that should be documented when performing changes to IT and OT assets. The requirements should consider what information.... GRC Toolkit Controls TDA-04 requires Mechanisms exist to obtain, protect and distribute administrator documentation for Technology Assets, Applications and/or Services (TAAS) that describe: (1) Secure configuration.... Both address security and privacy governance. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Documentation Requirements,TDA-04,"Mechanisms exist to obtain, protect and distribute administrator documentation for Technology Assets, Applications and/or Services (TAAS) that describe: (1) Secure configuration, installation and operation of the TAAS; (2) Effective use and maintenance of security features/functions; and (3) Known vulnerabilities regarding configuration and use of administrative (e.g., privileged) functions.","Overlap: none identified. Divergence: C2M2 emphasizes asset, changes, define; GRC Toolkit Controls emphasizes configuration, taas, technology."
ASSET-4d,Changes to higher priority assets are tested prior to being deployed,"Changes to assets should be tested to ensure continuity of the assets and functions they affect prior to implementing the changes across the enterprise. When possible, testing of proposed changes should be conducted in a test environment or a low-risk production environment. Testing may include stress testing, confirmation that changes were implemented, operability, and load testing. Additionally, organizations may consider whether controls preventing unauthorized changes are necessary for sp...",medium,functional,"C2M2 ASSET-4d requires Changes to assets should be tested to ensure continuity of the assets and functions they affect prior to implementing the changes across the enterprise. When possible, testing o.... GRC Toolkit Controls BCD-02 requires Mechanisms exist to identify and document the critical Technology Assets, Applications, Services and/or Data (TAASD) that support essential missions and business functions.. Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Identify Critical Assets,BCD-02,"Mechanisms exist to identify and document the critical Technology Assets, Applications, Services and/or Data (TAASD) that support essential missions and business functions.","Overlap: incident response; audit and monitoring. Divergence: C2M2 emphasizes changes, prior, tested; GRC Toolkit Controls emphasizes business, critical, identify."
ASSET-4e,Changes and updates are implemented in a secure manner,"Procedures and tools used to update assets should incorporate appropriate controls to ensure that unintentional or intentional vulnerabilities or misconfigurations are not introduced as part of asset change processes. This may include use of secure communications protocols, verification methods, such as digital signatures, or other controls. Related Practices · Progression: This practice is part of a practice progression. Practice progressions are groups of related practices that represent in...",medium,functional,"C2M2 ASSET-4e requires Procedures and tools used to update assets should incorporate appropriate controls to ensure that unintentional or intentional vulnerabilities or misconfigurations are not intro.... GRC Toolkit Controls CHG-07 requires Mechanisms exist to govern change management procedures for ""emergency"" changes.. Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Emergency Changes,CHG-07,"Mechanisms exist to govern change management procedures for ""emergency"" changes.","Overlap: governance and policy. Divergence: C2M2 emphasizes asset, appropriate, assets; GRC Toolkit Controls emphasizes emergency, management, exist."
